欣陸            ,	3703
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,1125482,11.90,12.10,11.90,12.10,0.15,402,13522384
104/01/06,688285,12.00,12.00,11.90,11.90,-0.20,243,8237120
104/01/07,503735,11.90,12.00,11.90,12.00,0.10,290,6020220
104/01/08,4808404,11.20,11.75,11.20,11.45,-0.55,1080,55202639
104/01/09,955084,11.45,11.70,11.45,11.60,0.15,454,11065314
104/01/12,1003124,11.60,11.60,11.35,11.40,-0.20,364,11471805
104/01/13,521599,11.55,11.60,11.45,11.55,0.15,267,6003788
104/01/14,901125,11.55,11.55,11.35,11.45,-0.10,312,10301325
104/01/15,573073,11.45,11.50,11.35,11.45,,195,6545423
104/01/16,569436,11.45,11.50,11.30,11.30,-0.15,263,6466154
104/01/19,717889,11.30,11.40,11.25,11.30,,235,8105499
104/01/20,430943,11.40,11.50,11.30,11.50,0.20,204,4922647
104/01/21,385396,11.40,11.50,11.35,11.40,-0.10,234,4398940
104/01/22,366860,11.35,11.50,11.35,11.45,0.05,203,4198501
104/01/23,628672,11.50,11.50,11.40,11.50,0.05,289,7204456
104/01/26,428431,11.50,11.50,11.35,11.35,-0.15,203,4894617
104/01/27,248573,11.35,11.45,11.35,11.45,0.10,111,2833677
104/01/28,785633,11.45,11.45,11.30,11.35,-0.10,303,8920879
104/01/29,255637,11.35,11.45,11.30,11.40,0.05,123,2907959
104/01/30,285000,11.50,11.50,11.35,11.40,,116,3254049
104/02/02,368208,11.40,11.45,11.35,11.35,-0.05,161,4197357
104/02/03,224000,11.45,11.45,11.35,11.35,,120,2549544
104/02/04,323518,11.35,11.45,11.35,11.40,0.05,89,3692972
104/02/05,313823,11.40,11.45,11.35,11.35,-0.05,129,3571847
104/02/06,133426,11.35,11.45,11.35,11.35,,61,1519834
104/02/09,495788,11.35,11.40,11.30,11.35,,192,5614702
104/02/10,326749,11.35,11.40,11.30,11.40,0.05,185,3715963
104/02/11,1760878,11.55,11.80,11.55,11.75,0.35,626,20575665
104/02/12,659572,11.70,11.80,11.65,11.75,,193,7742339
104/02/13,1810212,11.85,11.90,11.70,11.70,-0.05,368,21386112
104/02/24,779559,11.80,11.85,11.65,11.65,-0.05,252,9133032
104/02/25,728211,11.75,11.75,11.65,11.70,0.05,217,8540003
104/02/26,842851,11.75,11.75,11.65,11.70,,177,9870407
104/03/02,467545,11.70,11.75,11.65,11.75,0.05,132,5485773
104/03/03,504062,11.75,11.80,11.70,11.70,-0.05,178,5913619
104/03/04,579692,11.75,11.80,11.70,11.70,,250,6804709
104/03/05,622609,11.75,11.75,11.70,11.75,0.05,225,7305971
104/03/06,674572,11.75,11.80,11.70,11.75,,158,7930188
