銘鈺            ,	4545
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
105/01/06,3881562,88.10,96.00,88.10,91.00,X,2988,353022442
105/01/07,1377861,90.00,90.50,87.90,87.90,-3.10,1123,122226536
105/01/08,1210464,87.90,90.20,87.90,88.60,0.70,646,107499160
105/01/11,1308061,87.90,88.60,82.00,82.00,-6.60,626,113701924
105/01/12,1181771,82.00,83.40,72.10,72.50,-9.50,918,90170396
105/01/13,519620,73.50,77.00,73.50,75.20,2.70,402,39129184
105/01/14,329630,73.60,74.00,72.10,73.00,-2.20,249,24064815
105/01/15,348021,73.50,74.10,71.20,71.20,-1.80,268,25337800
105/01/18,506250,71.50,77.00,70.20,75.00,3.80,356,37038825
105/01/19,377083,74.80,77.90,74.00,77.00,2.00,270,28491415
105/01/20,525650,75.60,75.60,71.50,72.00,-5.00,376,38522400
105/01/21,198242,72.80,73.50,72.10,73.50,1.50,178,14477787
105/01/22,238000,74.00,75.90,74.00,75.00,1.50,219,17810300
105/01/25,226000,76.10,77.30,75.00,75.60,0.60,185,17146400
105/01/26,128000,74.70,75.00,73.70,73.90,-1.70,107,9502600
105/01/27,128001,74.50,75.00,72.40,72.90,-1.00,105,9435872
105/01/28,188035,72.10,73.30,72.10,72.70,-0.20,176,13616630
105/01/29,114100,72.70,73.50,72.20,73.30,0.60,99,8327580
105/01/30,208353,74.10,75.40,74.10,74.80,1.50,167,15543275
105/02/01,110000,74.70,75.20,74.00,74.00,-0.80,90,8176100
105/02/02,303117,73.70,77.70,73.70,76.60,2.60,263,23179009
105/02/03,157058,75.50,76.20,74.20,75.00,-1.60,140,11812742
105/02/15,184400,74.00,74.80,72.60,74.00,-1.00,150,13553918
105/02/16,131015,73.00,74.60,73.00,74.20,0.20,110,9684923
105/02/17,226450,74.00,76.80,73.50,75.80,1.60,206,17068255
105/02/18,763114,76.10,83.30,76.10,83.30,7.50,567,62177895
105/02/19,683667,82.70,84.70,81.70,83.30,,518,56757127
105/02/22,193200,83.10,83.10,81.00,81.60,-1.70,164,15783339
105/02/23,253200,81.60,84.00,81.30,83.00,1.40,202,21071540
105/02/24,166250,82.50,82.90,80.30,80.90,-2.10,133,13568423
105/02/25,179638,81.20,81.30,79.50,79.70,-1.20,153,14391747
105/02/26,85370,80.70,80.70,79.60,80.60,0.90,83,6852422
105/03/01,184200,81.30,83.20,80.60,82.50,1.90,143,15082640
105/03/02,117354,82.40,83.40,82.00,82.10,-0.40,110,9670705
105/03/03,451600,82.10,85.80,81.70,83.90,1.80,346,37877879
105/03/04,509924,83.70,86.80,83.00,85.00,1.10,379,43440778
105/03/07,201100,85.00,85.80,83.00,83.20,-1.80,162,16938600
105/03/08,184000,82.80,83.00,81.50,82.00,-1.20,132,15105800
105/03/09,332350,82.80,85.90,82.80,85.80,3.80,279,28148329
105/03/10,436975,86.50,87.90,85.50,86.50,0.70,347,37863225
105/03/11,298400,85.60,86.70,84.10,85.80,-0.70,234,25461020
105/03/14,296610,86.90,88.10,86.00,86.70,0.90,246,25916670
105/03/15,374012,87.40,88.50,84.60,84.80,-1.90,291,32385720
105/03/16,1599162,87.00,92.70,86.60,92.00,7.20,1171,144701684
105/03/17,1587950,94.00,94.90,89.90,91.20,-0.80,1067,147646250
105/03/18,511900,91.20,91.20,88.00,90.00,-1.20,379,45675619
105/03/21,260370,90.00,90.00,88.30,88.50,-1.50,194,23177645
105/03/22,916047,88.50,88.50,84.60,85.30,-3.20,643,78763495
105/03/23,353852,85.20,85.60,83.20,83.30,-2.00,289,29733085
105/03/24,250000,84.00,85.40,82.20,84.00,0.70,196,20954700
105/03/25,130100,84.00,84.50,83.10,83.20,-0.80,106,10863110
105/03/28,103157,83.00,83.40,82.40,82.50,-0.70,91,8523652
105/03/29,225425,82.50,83.00,78.30,79.20,-3.30,201,18085058
105/03/30,115000,79.20,81.20,79.20,81.00,1.80,97,9211798
105/03/31,110200,81.00,81.20,79.60,80.00,-1.00,96,8825719
105/04/01,106000,80.00,81.80,78.80,79.70,-0.30,79,8517000
105/04/06,90150,79.50,80.70,78.90,80.50,0.80,85,7172372
105/04/07,157713,80.30,80.50,78.60,79.10,-1.40,145,12503841
105/04/08,98003,78.20,80.00,78.20,79.30,0.20,93,7758239
105/04/11,72243,79.10,80.10,79.10,79.40,0.10,66,5753794
105/04/12,299000,79.40,82.90,79.40,80.50,1.10,227,24284100
105/04/13,144079,79.90,80.80,79.90,80.10,-0.40,102,11558127
105/04/14,101940,80.30,81.50,80.10,80.10,,78,8226194
105/04/15,99980,79.10,80.20,79.10,79.50,-0.60,70,7960417
105/04/18,160241,79.40,79.90,78.00,78.00,-1.50,136,12570317
105/04/19,164200,79.00,79.10,77.20,78.80,0.80,130,12831160
105/04/20,146000,78.70,78.90,77.00,77.70,-1.10,119,11347600
105/04/21,79255,77.10,77.70,76.70,76.80,-0.90,74,6121562
