大亞            ,	1609
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,1661595,6.45,6.68,6.42,6.56,0.11,439,10940225
104/01/06,695508,6.51,6.53,6.44,6.48,-0.08,164,4500225
104/01/07,252329,6.50,6.52,6.48,6.51,0.03,102,1642007
104/01/08,441505,6.52,6.58,6.50,6.51,,142,2880038
104/01/09,351424,6.59,6.59,6.52,6.53,0.02,128,2298660
104/01/12,613875,6.53,6.56,6.49,6.49,-0.04,129,4003081
104/01/13,789795,6.48,6.51,6.46,6.48,-0.01,218,5121946
104/01/14,306342,6.50,6.51,6.46,6.47,-0.01,110,1985117
104/01/15,311359,6.46,6.54,6.45,6.46,-0.01,94,2018329
104/01/16,470084,6.45,6.48,6.42,6.45,-0.01,166,3029172
104/01/19,339468,6.50,6.50,6.41,6.42,-0.03,92,2183497
104/01/20,366251,6.42,6.47,6.40,6.43,0.01,135,2352536
104/01/21,172295,6.40,6.45,6.40,6.43,,96,1106175
104/01/22,336624,6.44,6.48,6.43,6.47,0.04,130,2175043
104/01/23,365656,6.50,6.51,6.46,6.46,-0.01,138,2370093
104/01/26,570981,6.45,6.50,6.45,6.45,-0.01,162,3693072
104/01/27,286299,6.49,6.49,6.45,6.45,,72,1849155
104/01/28,2585952,6.46,6.62,6.42,6.51,0.06,454,16899962
104/01/29,311994,6.51,6.52,6.48,6.49,-0.02,131,2025563
104/01/30,428400,6.49,6.53,6.46,6.47,-0.02,137,2774225
104/02/02,307167,6.47,6.50,6.45,6.50,0.03,83,1983393
104/02/03,398177,6.48,6.50,6.45,6.49,-0.01,127,2575692
104/02/04,319553,6.49,6.53,6.46,6.46,-0.03,86,2072817
104/02/05,256987,6.46,6.49,6.44,6.45,-0.01,76,1656897
104/02/06,417305,6.45,6.48,6.42,6.43,-0.02,125,2686218
104/02/09,224844,6.43,6.47,6.43,6.43,,93,1447411
104/02/10,384819,6.41,6.47,6.41,6.42,-0.01,137,2474364
104/02/11,735045,6.43,6.46,6.40,6.40,-0.02,176,4722185
104/02/12,252539,6.45,6.45,6.40,6.41,0.01,85,1622630
104/02/13,755994,6.41,6.48,6.41,6.43,0.02,169,4872857
104/02/24,449411,6.47,6.49,6.46,6.46,0.03,155,2908760
104/02/25,918419,6.46,6.53,6.46,6.50,0.04,181,5963035
104/02/26,566209,6.50,6.54,6.50,6.53,0.03,158,3687897
104/03/02,975643,6.53,6.61,6.52,6.58,0.05,289,6412490
104/03/03,678539,6.58,6.59,6.54,6.56,-0.02,170,4457037
104/03/04,822239,6.52,6.61,6.52,6.55,-0.01,150,5401388
104/03/05,331987,6.55,6.59,6.55,6.58,0.03,123,2181496
104/03/06,766999,6.58,6.66,6.58,6.62,0.04,241,5082526
104/03/09,689677,6.60,6.68,6.56,6.61,-0.01,190,4571885
104/03/10,488137,6.61,6.66,6.60,6.61,,141,3232876
104/03/11,424015,6.57,6.61,6.56,6.56,-0.05,164,2791337
104/03/12,707449,6.56,6.59,6.50,6.51,-0.05,175,4615360
104/03/13,517103,6.52,6.53,6.49,6.49,-0.02,177,3363416
104/03/16,268013,6.47,6.50,6.46,6.48,-0.01,122,1737870
104/03/17,784134,6.48,6.55,6.48,6.51,0.03,269,5110847
104/03/18,3484372,6.52,6.67,6.50,6.65,0.14,895,23067911
104/03/19,1880023,6.67,6.68,6.60,6.60,-0.05,453,12490819
104/03/20,443359,6.60,6.66,6.58,6.64,0.04,275,2936434
104/03/23,426565,6.64,6.65,6.60,6.60,-0.04,377,2821305
104/03/24,447154,6.56,6.62,6.56,6.56,-0.04,223,2941307
104/03/25,516367,6.55,6.61,6.53,6.56,,265,3384270
104/03/26,651164,6.53,6.58,6.52,6.55,-0.01,233,4268645
104/03/27,246349,6.55,6.60,6.54,6.55,,256,1615634
104/03/30,371202,6.56,6.59,6.51,6.51,-0.04,278,2426413
104/03/31,417634,6.52,6.55,6.49,6.49,-0.02,231,2719491
104/04/01,185599,6.49,6.53,6.48,6.51,0.02,159,1206777
104/04/02,251620,6.51,6.57,6.50,6.51,,245,1641901
104/04/07,326526,6.50,6.54,6.49,6.51,,340,2125490
104/04/08,353576,6.51,6.55,6.49,6.53,0.02,393,2303615
104/04/09,389529,6.51,6.55,6.51,6.52,-0.01,191,2544009
104/04/10,498250,6.53,6.57,6.50,6.50,-0.02,190,3252720
104/04/13,628470,6.50,6.55,6.50,6.54,0.04,169,4102797
104/04/14,318478,6.54,6.56,6.53,6.56,0.02,148,2085523
104/04/15,406773,6.57,6.58,6.49,6.49,-0.07,158,2654417
104/04/16,522496,6.49,6.56,6.49,6.50,0.01,206,3404154
104/04/17,738573,6.50,6.54,6.50,6.51,0.01,251,4811073
