上緯            ,	4733
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,2532810,141.00,150.00,140.00,149.00,8.00,1728,371118779
104/01/06,1300927,148.00,148.00,144.00,145.00,-4.00,976,189753375
104/01/07,1178395,145.00,149.00,144.00,148.50,3.50,841,173298653
104/01/08,1149954,145.50,149.50,145.50,146.50,-2.00,699,169832692
104/01/09,1398740,148.00,151.50,147.00,148.50,2.00,938,209183388
104/01/12,639637,148.50,151.50,148.00,148.50,,478,95530092
104/01/13,472879,149.00,149.50,147.50,147.50,-1.00,359,70059713
104/01/14,994127,147.50,150.50,146.00,146.00,-1.50,606,147282542
104/01/15,1074543,146.00,146.00,141.50,142.50,-3.50,744,154298735
104/01/16,975134,142.00,144.50,141.00,142.00,-0.50,643,138996595
104/01/19,589144,143.50,145.00,142.50,145.00,3.00,384,84871880
104/01/20,390336,145.00,147.00,144.50,147.00,2.00,273,56870056
104/01/21,315733,147.00,147.00,144.50,145.50,-1.50,233,46027785
104/01/22,2503610,146.50,153.00,146.50,149.50,4.00,1515,376533187
104/01/23,819331,151.50,151.50,148.00,148.00,-1.50,598,122295988
104/01/26,429771,149.00,151.00,148.00,149.50,1.50,304,64206760
104/01/27,521356,149.50,151.50,148.00,148.50,-1.00,325,77847188
104/01/28,403792,148.50,149.50,147.50,149.50,1.00,313,59894508
104/01/29,912548,150.00,151.50,148.00,150.00,0.50,532,136760152
104/01/30,447739,150.00,150.50,147.50,149.00,-1.00,281,66680372
104/02/02,754665,149.00,150.00,144.50,148.50,-0.50,520,111484420
104/02/03,2552852,151.00,154.50,148.00,152.50,4.00,1695,386553926
104/02/04,2503867,154.00,158.00,152.50,156.00,3.50,1707,389302885
104/02/05,1333765,157.00,159.00,155.00,159.00,3.00,939,210514135
104/02/06,846822,159.00,160.50,157.00,157.00,-2.00,617,134073554
104/02/09,614453,156.50,158.50,155.50,156.00,-1.00,483,96203715
104/02/10,669813,157.00,157.00,152.00,152.50,-3.50,501,103088576
104/02/11,951052,153.00,156.50,153.00,155.50,3.00,618,147530083
104/02/12,664144,156.50,158.00,154.00,158.00,2.50,420,103645752
104/02/13,652471,159.00,159.50,156.00,156.50,-1.50,436,102708710
104/02/24,477900,158.00,159.00,157.50,158.00,1.50,318,75595700
104/02/25,1782515,158.50,166.00,158.00,162.50,4.50,1178,290916680
104/02/26,680914,163.00,165.00,162.00,163.50,1.00,509,111418435
104/03/02,2806760,166.00,174.50,165.50,170.00,6.50,1965,482502200
104/03/03,1577394,170.00,174.00,167.50,173.00,3.00,1148,270157662
104/03/04,2219426,173.00,181.50,171.50,181.00,8.00,1684,396986180
104/03/05,886411,185.00,185.00,180.50,182.50,1.50,695,161689501
104/03/06,1981197,182.50,187.50,180.50,183.00,0.50,1434,364278551
104/03/09,1017237,183.00,187.00,181.00,185.50,2.50,746,188090460
104/03/10,1805140,186.00,194.00,186.00,189.50,4.00,1421,343777460
104/03/11,881771,188.00,192.00,185.00,186.00,-3.50,743,165419635
104/03/12,798567,187.00,189.50,184.50,185.50,-0.50,660,149273175
104/03/13,1514274,187.50,193.00,186.50,188.00,2.50,1149,287539512
104/03/16,902290,190.00,191.00,187.50,188.00,,633,170497520
104/03/17,2581312,191.00,200.00,190.00,200.00,12.00,1838,510416900
104/03/18,2459618,205.00,214.00,203.50,214.00,14.00,1684,521412752
104/03/19,2954375,218.00,228.50,218.00,228.50,14.50,2194,662814179
104/03/20,3165975,236.00,240.00,228.00,230.00,1.50,2501,742418750
104/03/23,1702710,235.00,236.50,223.00,224.00,-6.00,1424,389097540
104/03/24,1822600,225.50,228.50,215.50,218.50,-5.50,1497,402627591
104/03/25,2008971,219.50,221.50,212.00,216.00,-2.50,1466,433937736
104/03/26,2096015,218.00,228.00,216.00,226.00,10.00,1794,467103390
104/03/27,2278938,230.00,233.50,224.00,228.50,2.50,1787,522268327
104/03/30,1626903,230.00,230.50,216.00,218.50,-10.00,1278,360692800
104/03/31,1423041,220.00,229.00,220.00,228.50,10.00,1089,322691865
104/04/01,2570979,228.00,244.00,226.00,244.00,15.50,1666,611586376
104/04/02,1792084,245.00,245.00,235.00,238.00,-6.00,1341,427843244
104/04/07,1533446,240.00,254.50,240.00,254.00,16.00,1227,382498784
104/04/08,1099850,254.00,263.00,250.00,252.00,-2.00,918,281082200
104/04/09,2467156,252.00,252.00,234.50,236.00,-16.00,1807,592668472
104/04/10,1265211,237.00,243.50,237.00,242.50,6.50,1123,303711659
104/04/13,823860,248.50,248.50,239.00,242.00,-0.50,697,199916120
104/04/14,1096026,242.00,250.00,240.50,245.50,3.50,943,270980381
104/04/15,1438057,246.00,252.00,245.00,251.00,5.50,1175,358839263
104/04/16,1468410,252.00,252.50,238.00,243.00,-8.00,1243,360069680
104/04/17,856775,243.00,244.50,237.00,244.50,1.50,760,206355762
104/04/20,848730,242.00,248.50,241.00,245.50,1.00,725,208049580
104/04/21,1909433,247.00,247.50,228.50,228.50,-17.00,1509,447338657
104/04/22,1974632,228.50,243.00,223.50,239.50,11.00,1633,463533416
104/04/23,1068165,240.00,242.00,233.00,236.00,-3.50,900,253416440
104/04/24,1037175,238.00,241.00,233.00,240.00,4.00,865,246084000
104/04/27,809946,242.00,244.50,238.50,240.00,,677,195438040
104/04/28,2394064,241.00,255.50,241.00,252.00,12.00,1973,600798587
104/04/29,1576545,256.00,258.00,243.50,245.00,-7.00,1314,392985615
104/04/30,1840818,245.00,255.00,243.00,249.00,4.00,1492,459324182
104/05/04,3053332,251.00,265.00,247.50,258.50,9.50,2563,789157817
104/05/05,1653238,259.50,261.00,249.00,251.00,-7.50,1364,417980851
104/05/06,1116262,248.00,256.50,248.00,250.00,-1.00,953,281479762
104/05/07,1205560,249.50,253.00,242.00,243.50,-6.50,957,297936416
104/05/08,960034,245.00,246.00,238.00,244.00,0.50,787,232924344
104/05/11,1140310,248.00,254.50,245.00,249.00,5.00,917,284421190
104/05/12,1022188,245.50,252.50,241.50,251.00,2.00,861,252985688
104/05/13,725874,253.00,254.00,249.00,250.00,-1.00,542,182553668
104/05/14,2515080,253.00,263.50,250.50,257.00,7.00,1990,649736174
104/05/15,1030903,257.00,258.50,252.50,253.50,-3.50,810,263324405
104/05/18,675792,255.50,260.00,253.00,256.00,2.50,577,172885752
104/05/19,1125993,257.50,262.00,252.00,254.00,-2.00,983,289697730
104/05/20,623601,255.00,258.50,252.50,258.00,4.00,575,159493153
104/05/21,1331832,255.00,261.50,255.00,257.50,-0.50,1054,344508156
104/05/22,2921005,255.00,255.00,241.00,241.00,-16.50,2311,719713210
104/05/25,3222652,237.00,250.00,232.00,250.00,9.00,2116,783507518
104/05/26,1720758,250.00,257.50,247.50,255.50,5.50,1473,436373532
104/05/27,1102821,251.00,257.50,251.00,255.00,-0.50,859,280522855
104/05/28,2159464,256.00,265.00,256.00,264.50,9.50,1502,565726262
104/05/29,2832023,267.50,283.00,264.50,283.00,18.50,1991,780226009
104/06/01,2741541,286.50,297.00,283.50,289.50,6.50,2206,796496390
104/06/02,1751026,291.00,295.00,276.50,276.50,-13.00,1378,499180150
104/06/03,1774705,276.50,283.00,268.00,269.00,-7.50,1441,485035194
104/06/04,1125242,274.50,276.00,262.00,268.00,-1.00,970,301612856
104/06/05,1501435,270.50,278.00,260.00,278.00,10.00,1222,404010430
104/06/08,1207627,280.00,282.00,269.00,279.00,1.00,1005,333927187
104/06/09,2402719,279.00,287.00,275.00,275.00,-4.00,1792,678626725
