聚碩            ,	6112
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,195976,36.35,36.60,36.00,36.45,0.10,125,7096379
104/01/06,253500,36.45,36.45,35.90,35.90,-0.55,146,9142371
104/01/07,109066,35.90,36.00,35.75,35.75,-0.15,75,3912526
104/01/08,166402,35.85,36.20,35.85,35.90,0.15,107,5987875
104/01/09,277715,36.10,36.15,35.90,35.95,0.05,117,10011224
104/01/12,155830,36.00,36.00,35.70,35.70,-0.25,119,5581491
104/01/13,145563,35.70,35.80,35.70,35.70,,91,5201819
104/01/14,129506,35.70,35.80,35.70,35.75,0.05,102,4627231
104/01/15,108575,35.80,35.80,35.60,35.80,0.05,63,3872402
104/01/16,219286,35.80,35.80,35.10,35.20,-0.60,137,7767610
104/01/19,222444,35.30,35.45,35.00,35.00,-0.20,126,7815890
104/01/20,188651,35.10,35.40,35.10,35.35,0.35,75,6649176
104/01/21,133698,35.40,35.50,35.40,35.45,0.10,59,4736317
104/01/22,101040,35.50,35.55,35.40,35.55,0.10,74,3585567
104/01/23,177490,35.55,35.75,35.55,35.60,0.05,97,6322388
104/01/26,74883,35.60,35.85,35.60,35.65,0.05,65,2675778
104/01/27,245326,35.70,35.95,35.30,35.70,0.05,174,8766469
104/01/28,29927,35.70,35.70,35.60,35.70,,34,1066658
104/01/29,39497,35.70,35.70,35.50,35.50,-0.20,45,1404489
104/01/30,93847,35.60,35.75,35.55,35.55,0.05,52,3346004
104/02/02,166465,35.60,35.60,35.00,35.40,-0.15,100,5872704
104/02/03,38105,35.50,35.60,35.40,35.40,,37,1352159
104/02/04,71343,35.55,35.60,35.45,35.50,0.10,50,2533888
104/02/05,96747,35.50,35.70,35.50,35.60,0.10,81,3446488
104/02/06,48651,35.70,35.80,35.60,35.60,,46,1736073
104/02/09,47220,35.60,35.60,35.50,35.55,-0.05,35,1678922
104/02/10,82100,35.60,35.80,35.60,35.70,0.15,58,2931051
104/02/11,79180,35.80,35.80,35.70,35.75,0.05,91,2832346
104/02/12,56932,35.90,35.90,35.75,35.75,,62,2036357
104/02/13,141603,35.80,35.90,35.75,35.85,0.10,72,5071781
104/02/24,109903,36.85,36.85,36.00,36.40,0.55,116,3996124
104/02/25,179200,36.50,36.75,36.25,36.30,-0.10,95,6528236
104/02/26,139835,36.40,36.45,36.25,36.30,,86,5079305
104/03/02,139062,36.35,36.55,36.15,36.15,-0.15,127,5054383
104/03/03,69417,36.45,36.45,36.20,36.20,0.05,74,2516636
104/03/04,127469,36.35,36.35,36.25,36.25,0.05,81,4629646
104/03/05,112866,36.35,36.40,36.20,36.25,,82,4092909
104/03/06,159877,36.40,36.75,36.25,36.50,0.25,120,5832321
104/03/09,142946,36.70,36.70,36.25,36.30,-0.20,118,5196728
104/03/10,186573,36.50,36.65,36.25,36.40,0.10,110,6799150
104/03/11,126357,36.20,36.40,36.20,36.25,-0.15,106,4582217
104/03/12,91782,36.25,36.50,36.25,36.40,0.15,93,3342051
104/03/13,112758,36.60,36.60,36.35,36.35,-0.05,92,4113405
104/03/16,118830,36.35,36.60,36.25,36.40,0.05,104,4324802
104/03/17,143085,36.50,36.50,36.20,36.30,-0.10,119,5193631
104/03/18,70946,36.50,36.50,36.25,36.30,,86,2580229
104/03/19,167612,36.40,36.50,36.30,36.45,0.15,133,6100943
104/03/20,272183,36.50,37.20,36.50,36.85,0.40,181,10022162
104/03/23,238255,36.90,37.00,36.65,36.85,,161,8769168
104/03/24,284987,36.95,37.80,36.90,37.40,0.55,239,10628055
104/03/25,288450,37.50,37.50,36.95,36.95,-0.45,174,10711750
104/03/26,195932,36.85,37.30,36.85,37.00,0.05,146,7254484
104/03/27,222140,37.00,37.20,36.90,37.10,0.10,145,8221230
104/03/30,271458,37.10,37.10,36.65,36.80,-0.30,250,10019036
104/03/31,1110852,36.50,36.50,34.50,35.10,-1.70,806,38979370
104/04/01,756921,34.50,34.50,33.55,34.00,-1.10,505,25818743
104/04/02,451946,33.80,34.20,33.70,34.20,0.20,393,15319520
