中宇            ,	1535
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,58505,68.40,68.40,67.50,68.00,-0.20,48,3980640
104/01/06,52541,67.80,68.00,67.10,67.50,-0.50,40,3552363
104/01/07,29317,67.90,67.90,67.10,67.30,-0.20,32,1972035
104/01/08,42031,67.50,68.00,67.50,67.60,0.30,38,2844301
104/01/09,38204,67.90,68.30,67.60,68.00,0.40,43,2596339
104/01/12,179775,68.90,69.80,68.50,69.10,1.10,163,12454704
104/01/13,64523,69.30,69.50,69.00,69.00,-0.10,66,4467371
104/01/14,43851,69.40,69.40,68.50,69.00,,45,3015819
104/01/15,27158,68.80,68.90,68.50,68.60,-0.40,29,1863533
104/01/16,51204,68.60,68.60,68.20,68.20,-0.40,46,3497235
104/01/19,33315,68.10,68.30,68.00,68.10,-0.10,41,2270949
104/01/20,40252,68.30,68.90,68.00,68.90,0.80,38,2748766
104/01/21,19250,68.80,68.90,68.30,68.80,-0.10,25,1322621
104/01/22,26523,68.80,68.80,68.40,68.80,,30,1820740
104/01/23,101836,68.80,69.00,68.50,68.50,-0.30,110,7000345
104/01/26,97771,68.50,68.50,67.80,67.90,-0.60,107,6653099
104/01/27,97004,67.90,68.30,67.50,67.60,-0.30,93,6565576
104/01/28,66278,67.30,67.60,67.30,67.50,-0.10,59,4472804
104/01/29,62000,67.50,67.50,67.00,67.20,-0.30,48,4168200
104/01/30,53000,67.20,67.60,67.10,67.60,0.40,47,3568200
104/02/02,100640,67.60,68.70,67.60,68.40,0.80,96,6864512
104/02/03,84790,68.40,68.40,67.50,68.00,-0.40,78,5755728
104/02/04,92100,68.00,68.20,67.60,67.90,-0.10,72,6246820
104/02/05,49630,67.90,68.00,67.80,67.80,-0.10,50,3368450
104/02/06,48500,67.80,68.30,67.60,67.60,-0.20,43,3294448
104/02/09,37004,67.60,67.90,67.50,67.50,-0.10,35,2503180
104/02/10,140500,66.90,67.00,66.20,66.50,-1.00,116,9365300
104/02/11,51368,66.60,66.80,66.60,66.60,0.10,51,3423939
104/02/12,187501,66.60,66.60,65.80,65.80,-0.80,137,12383169
104/02/13,77809,65.80,65.80,65.40,65.50,-0.30,80,5102882
104/02/24,88438,65.50,65.90,65.40,65.70,0.20,89,5794691
104/02/25,83206,65.70,66.10,65.60,65.60,-0.10,69,5472775
104/02/26,75575,65.60,65.70,65.60,65.60,,77,4962850
104/03/02,63501,65.90,66.80,65.90,66.60,1.00,69,4219467
104/03/03,116594,66.80,66.80,66.30,66.80,0.20,88,7770059
104/03/04,70780,66.80,67.60,66.70,67.60,0.80,67,4753345
104/03/05,97096,67.60,68.40,67.60,68.30,0.70,84,6616000
104/03/06,56306,68.30,68.40,68.00,68.00,-0.30,55,3835124
104/03/09,202770,69.00,69.80,68.70,69.50,1.50,197,14072000
104/03/10,99456,69.80,69.90,68.90,69.30,-0.20,100,6895896
104/03/11,127500,68.70,69.20,68.70,69.00,-0.30,91,8792347
104/03/12,66951,69.00,69.20,69.00,69.10,0.10,65,4625105
104/03/13,182191,69.10,69.80,69.00,69.50,0.40,105,12646562
104/03/16,344960,70.00,71.90,69.80,71.60,2.10,267,24471020
104/03/17,148119,72.00,72.90,71.10,71.40,-0.20,142,10636591
104/03/18,115231,71.40,71.70,71.20,71.60,0.20,93,8231775
104/03/19,360337,72.60,74.00,72.60,73.10,1.50,289,26335638
104/03/20,303049,73.30,74.20,72.90,73.20,0.10,269,22281926
104/03/23,194990,73.00,73.60,72.10,72.10,-1.10,186,14160461
