遠傳            ,	4904
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,5082336,72.60,72.60,70.40,70.60,-2.40,2961,360775907
104/01/06,5014537,70.20,70.60,69.40,69.40,-1.20,2753,350703553
104/01/07,4016700,70.40,71.30,69.70,70.10,0.70,2064,282226186
104/01/08,4169981,71.00,72.50,69.90,72.50,2.40,2509,300163711
104/01/09,5973566,72.80,74.00,72.30,73.10,0.60,2780,437441738
104/01/12,8609677,73.50,77.80,73.00,76.60,3.50,3904,656179644
104/01/13,7019915,76.60,77.20,74.90,76.40,-0.20,3609,536413840
104/01/14,3754495,76.50,76.50,74.60,75.90,-0.50,2466,283085214
104/01/15,3429810,75.90,75.90,74.50,75.00,-0.90,2258,257084158
104/01/16,5689912,75.00,75.90,73.20,75.70,0.70,2962,424304244
104/01/19,2304154,75.40,76.30,75.30,75.50,-0.20,1319,174502090
104/01/20,1677019,75.40,75.50,75.00,75.10,-0.40,905,126253718
104/01/21,3580173,75.10,77.00,75.00,77.00,1.90,1918,272971921
104/01/22,3178022,77.00,77.00,76.60,77.00,,2058,244273084
104/01/23,2800656,77.10,77.30,76.80,77.10,0.10,1722,215724713
104/01/26,2206865,77.10,77.30,76.70,77.10,,1645,169946731
104/01/27,3031558,77.40,77.50,76.20,77.00,-0.10,1385,232942772
104/01/28,2665635,76.80,77.00,76.60,76.90,-0.10,1508,204812464
104/01/29,3486465,76.90,77.20,76.40,77.20,0.30,1628,267961805
104/01/30,4200133,77.00,77.20,76.80,77.20,,1923,323490741
104/02/02,2993671,77.20,77.40,76.00,76.10,-1.10,1628,229498696
104/02/03,2632521,76.10,76.50,75.60,76.00,-0.10,1694,199689288
104/02/04,3344516,76.40,77.10,76.20,77.00,1.00,2528,256807376
104/02/05,1712995,77.10,77.10,76.10,77.10,0.10,1053,131258215
104/02/06,2537990,76.50,76.90,75.60,76.90,-0.20,1483,193846701
104/02/09,1878799,76.50,76.70,75.70,76.00,-0.90,1194,142677324
104/02/10,1804183,75.80,76.30,75.40,75.40,-0.60,1276,136575613
104/02/11,4251329,75.80,77.00,75.40,77.00,1.60,2336,325186629
104/02/12,3041794,77.00,77.00,75.50,76.00,-1.00,1718,231322044
104/02/13,4154490,76.20,77.80,76.00,77.80,1.80,2688,320456772
104/02/24,6610946,77.90,80.50,76.50,79.70,1.90,4199,520649304
104/02/25,4396711,79.80,79.90,78.00,78.50,-1.20,2369,346004569
104/02/26,8387685,78.50,78.50,76.90,77.60,-0.90,2031,649828865
104/03/02,7375764,78.00,78.60,75.90,76.40,-1.20,3771,567601813
104/03/03,5497281,77.30,77.30,75.60,76.30,-0.10,3455,418986361
104/03/04,4939028,76.10,76.10,74.90,75.10,-1.20,2516,371531414
104/03/05,4837703,75.00,75.50,74.00,74.60,-0.50,2425,361124078
104/03/06,5054323,74.60,75.60,74.30,75.60,1.00,2277,378844746
104/03/09,3146354,75.40,76.50,74.80,75.00,-0.60,1610,237531285
104/03/10,5005614,74.00,74.90,74.00,74.50,-0.50,2711,372788919
104/03/11,3748088,74.00,75.50,74.00,75.20,0.70,2144,280396023
104/03/12,5152108,75.30,76.60,75.00,75.80,0.60,2120,392134608
104/03/13,5045233,75.70,75.80,74.70,75.20,-0.60,2321,378945935
104/03/16,3928715,74.50,75.00,74.00,74.60,-0.60,2214,292383873
104/03/17,6164038,74.60,76.00,74.30,74.50,-0.10,2495,463629942
104/03/18,3783127,74.50,76.10,74.20,76.10,1.60,2326,284948958
104/03/19,4406659,76.10,76.20,75.20,76.00,-0.10,2342,334015284
104/03/20,6208129,76.00,76.20,74.60,75.30,-0.70,1959,466833214
104/03/23,3505894,75.30,75.30,74.50,74.80,-0.50,1415,262456460
104/03/24,4426036,74.70,75.80,74.60,75.60,0.80,2175,332685521
104/03/25,4345330,75.60,75.60,74.60,75.20,-0.40,1574,325939028
104/03/26,5484493,74.80,75.20,74.40,75.20,,2245,409596513
104/03/27,4002920,74.80,75.50,74.60,75.40,0.20,1687,300896916
104/03/30,2800325,74.70,75.20,74.30,74.70,-0.70,1576,209464575
104/03/31,4473224,74.70,75.60,74.30,75.50,0.80,1776,335966169
104/04/01,3507458,75.30,75.50,74.70,74.90,-0.60,1207,263248230
104/04/02,3704791,75.10,75.50,74.50,75.50,0.60,1552,278383979
104/04/07,1933107,75.50,75.70,75.30,75.70,0.20,1466,146029087
104/04/08,1869447,75.50,75.50,74.80,75.20,-0.50,1244,140470286
104/04/09,3686828,75.20,75.60,74.50,74.80,-0.40,1629,276214178
104/04/10,2181718,75.10,75.80,75.00,75.60,0.80,1447,164839228
104/04/13,2988985,75.20,75.40,74.80,75.00,-0.60,1899,224291168
104/04/14,4201479,75.00,75.60,74.90,75.20,0.20,796,315448116
104/04/15,19167782,74.80,74.80,70.20,72.50,-2.70,6442,1393059478
104/04/16,11971782,72.40,73.20,71.80,71.80,-0.70,4125,866615630
104/04/17,9353729,71.80,72.20,71.50,72.00,0.20,3091,673110970
104/04/20,3172406,71.60,72.90,71.50,72.90,0.90,1557,229807572
104/04/21,3995668,72.60,73.90,72.00,73.40,0.50,1855,291649526
104/04/22,7101877,72.90,73.80,72.50,73.00,-0.40,1782,519390981
104/04/23,5399127,73.30,74.30,73.30,74.00,1.00,2706,398228298
104/04/24,5505283,74.20,75.20,73.30,74.30,0.30,2742,410658538
104/04/27,3109384,74.20,75.20,74.20,74.30,,1920,231936123
104/04/28,4192146,74.50,74.50,73.30,73.70,-0.60,2303,308782472
104/04/29,6467433,74.60,74.70,72.70,72.90,-0.80,2394,475198892
104/04/30,7044094,73.50,73.80,72.50,73.10,0.20,2696,515665362
104/05/04,2216917,73.10,73.50,72.70,73.50,0.40,1447,162273787
104/05/05,2116383,73.90,74.30,73.20,74.10,0.60,1372,156293274
104/05/06,3742444,73.40,73.90,72.10,73.80,-0.30,1541,274255608
104/05/07,3301244,73.10,73.70,72.60,72.60,-1.20,1689,240742959
104/05/08,2155970,72.60,73.20,72.60,72.70,0.10,1185,157150511
104/05/11,2131350,72.80,73.60,72.80,73.20,0.50,1303,156158059
104/05/12,2214534,73.00,73.70,72.30,72.50,-0.70,1487,161300170
104/05/13,942624,73.30,73.30,72.60,72.90,0.40,543,68779322
104/05/14,3523307,73.30,73.30,72.50,73.00,0.10,2157,257177978
104/05/15,5894137,72.70,74.00,71.20,71.80,-1.20,2461,428526264
104/05/18,2274396,72.20,72.60,71.80,72.60,0.80,1345,164208825
104/05/19,2510427,72.30,73.20,72.30,73.00,0.40,1969,183132707
104/05/20,3503333,73.00,73.40,72.30,73.30,0.30,1976,256444804
104/05/21,4924765,72.80,72.80,71.70,72.10,-1.20,2452,355468159
104/05/22,3807264,72.00,72.50,72.00,72.00,-0.10,1633,274983512
104/05/25,4849710,71.80,72.00,71.30,71.40,-0.60,1989,346872576
104/05/26,2823555,71.90,72.40,71.90,72.00,0.60,1461,203425960
104/05/27,3224741,72.50,73.20,72.00,73.20,1.20,1202,235340635
104/05/28,4787576,72.10,73.50,72.00,72.00,-1.20,2430,347073257
104/05/29,5387701,72.00,73.80,72.00,72.90,0.90,1541,392893520
104/06/01,2611074,72.90,73.40,72.90,73.00,0.10,1679,190924602
104/06/02,2690882,73.00,73.00,72.10,72.90,-0.10,1853,195946595
104/06/03,4436023,72.90,73.10,72.20,72.40,-0.50,2007,321835561
104/06/04,6267986,72.10,72.40,70.10,70.80,-1.60,3502,447664416
104/06/05,4940633,70.70,71.50,70.60,71.00,0.20,3235,351815520
104/06/08,2501453,70.90,72.50,70.70,71.90,0.90,1842,178921964
104/06/09,2638705,72.20,72.90,71.60,71.90,,1799,190688877
104/06/10,3352472,72.20,73.20,71.40,72.40,0.50,2060,243078164
104/06/11,2070823,73.00,73.00,71.80,71.80,-0.60,1423,149542656
104/06/12,1850417,71.70,72.60,71.70,72.20,0.40,1148,133748180
104/06/15,2238795,72.60,72.60,71.50,71.70,-0.50,1094,161428491
104/06/16,3324533,71.60,71.80,70.90,71.00,-0.70,1629,236783043
104/06/17,6930653,70.80,70.80,69.00,69.00,-2.00,4200,484262144
104/06/18,4477571,69.10,71.20,69.10,71.00,2.00,2282,316052775
104/06/22,2720986,71.30,71.80,71.00,71.50,0.50,1627,194630788
104/06/23,1864998,71.90,72.00,71.50,71.80,0.30,1269,133903054
104/06/24,2491705,72.10,72.50,71.60,72.50,0.70,1252,180055738
104/06/25,3745971,72.50,73.40,72.50,73.40,0.90,1989,273725662
104/06/26,3706769,72.60,74.50,72.60,74.10,0.70,1431,274248176
104/06/29,2714598,73.90,73.90,73.30,73.80,-0.30,1637,199662352
104/06/30,5162669,73.20,74.60,73.20,74.60,0.80,2427,382920702
104/07/01,3914539,74.10,74.60,73.60,74.30,-0.30,2160,290777786
104/07/02,4316852,74.60,75.20,73.80,73.80,-0.50,2677,322139476
104/07/03,2396870,73.60,74.00,73.30,73.70,-0.10,1315,176477773
104/07/06,3695810,73.70,74.70,73.60,74.70,1.00,2102,275049682
104/07/07,6434408,75.10,76.20,75.00,76.00,1.30,3373,487922646
104/07/08,5456901,75.90,75.90,73.90,75.80,-0.20,2746,411111220
104/07/09,4312122,74.40,75.50,74.40,75.00,-0.80,2513,323673796
104/07/13,7640832,73.00,75.00,72.60,73.70,-1.30,3583,562824328
104/07/14,5890449,73.70,74.10,73.20,73.70,,2925,434338275
104/07/15,7028814,70.70,70.80,69.40,69.50,X,2953,491565480
104/07/16,3253974,70.00,70.70,69.70,70.70,1.20,2096,228238153
104/07/17,3028329,70.50,70.60,69.60,69.80,-0.90,1947,211463530
104/07/20,2389122,70.40,70.40,69.00,69.00,-0.80,1456,165734538
104/07/21,2758427,69.00,70.30,69.00,70.00,1.00,1546,192483018
104/07/22,3656321,70.10,71.40,69.90,71.20,1.20,1899,258932052
104/07/23,4052358,71.10,72.40,70.50,72.00,0.80,2165,289614176
104/07/24,4503300,71.60,73.20,71.40,73.00,1.00,2462,327676937
104/07/27,5251232,73.00,73.90,72.80,73.40,0.40,3134,385901319
104/07/28,4371166,73.30,73.30,71.50,72.30,-1.10,2637,316657318
104/07/29,2762086,72.20,72.50,71.20,71.70,-0.60,1865,198695435
104/07/30,2876140,71.70,72.50,71.40,71.70,,1716,207248496
104/07/31,12403351,72.50,75.20,72.40,73.90,2.20,5718,919518296
104/08/03,10136857,74.40,75.30,72.80,75.00,1.10,5413,757052496
104/08/04,5965852,75.40,75.70,74.50,75.10,0.10,3246,448869310
104/08/05,6519772,75.50,75.60,74.60,75.10,,3500,490592000
104/08/06,8640093,75.10,75.40,73.90,74.50,-0.60,3501,644029964
104/08/07,3184585,74.00,74.20,73.10,73.50,-1.00,2260,234125576
104/08/10,2092836,73.00,74.40,73.00,73.10,-0.40,1552,153609594
104/08/11,3828985,73.10,74.00,72.50,72.70,-0.40,2654,279337205
104/08/12,4055424,72.90,74.50,72.90,74.20,1.50,2976,298539090
104/08/13,5385874,75.00,75.30,74.20,75.10,0.90,3224,403450500
104/08/14,2938588,74.90,75.00,74.30,74.50,-0.60,1667,219218904
104/08/17,1854646,74.90,74.90,72.90,72.90,-1.60,1184,136168217
104/08/18,3700708,72.90,73.90,72.30,72.30,-0.60,2300,270115650
104/08/19,4636350,72.20,73.90,72.10,72.20,-0.10,3627,338782958
104/08/20,5444674,73.00,74.50,72.50,73.00,0.80,3147,399110602
104/08/21,5299738,72.60,73.50,72.50,73.00,,2975,386849976
104/08/24,12025270,72.40,73.90,68.40,71.00,-2.00,5606,855754475
104/08/25,7155209,71.30,73.00,70.10,70.10,-0.90,3133,510423739
104/08/26,8645052,70.10,70.30,69.10,69.60,-0.50,3008,601206480
104/08/27,7942500,69.60,70.80,69.00,70.10,0.50,3203,553320493
104/08/28,3093837,70.30,70.40,69.50,70.10,,1628,216660550
104/08/31,6544378,70.30,72.10,69.70,71.40,1.30,2379,463388176
104/09/01,6038363,71.90,71.90,70.00,70.00,-1.40,3141,426075036
104/09/02,4869908,69.90,71.00,69.40,70.00,,2113,342641145
104/09/03,2405977,70.80,70.80,70.00,70.00,,1222,169002877
104/09/04,2933571,70.00,70.60,69.90,70.00,,1272,205833070
