健策            ,	3653
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,278300,75.90,76.70,75.50,75.60,-0.30,239,21092779
104/01/06,477309,74.60,75.50,74.50,74.60,-1.00,429,35784682
104/01/07,261050,74.60,75.40,74.50,74.60,,211,19499150
104/01/08,337154,75.00,75.50,74.60,74.60,,252,25285850
104/01/09,1362679,75.40,77.80,75.00,76.50,1.90,1022,104462342
104/01/12,457196,76.10,77.20,75.50,75.50,-1.00,360,34842535
104/01/13,310154,75.50,76.40,75.50,75.50,,232,23508427
104/01/14,290050,76.00,76.20,75.50,75.70,0.20,230,21987384
104/01/15,7065280,76.00,80.90,76.00,79.10,3.40,3629,565452047
104/01/16,2275200,78.60,79.70,76.60,76.60,-2.50,1482,176133758
104/01/19,903110,77.10,77.60,73.50,74.00,-2.60,714,68076940
104/01/20,675466,74.10,76.00,74.10,75.30,1.30,527,50989988
104/01/21,544541,75.90,76.40,75.10,76.40,1.10,393,41197716
104/01/22,2337213,76.70,79.50,76.50,78.50,2.10,1634,183556418
104/01/23,1025261,79.50,79.50,77.60,78.00,-0.50,666,80293358
104/01/26,502119,77.90,79.00,77.50,78.00,,380,39295033
104/01/27,390331,78.80,78.80,77.20,77.80,-0.20,317,30352185
104/01/28,761203,77.60,79.20,77.20,77.80,,529,59716293
104/01/29,522500,78.00,78.50,76.60,76.70,-1.10,393,40299149
104/01/30,395929,77.00,77.60,76.00,76.00,-0.70,303,30288230
104/02/02,275138,77.50,77.50,75.80,75.80,-0.20,238,20953530
104/02/03,598548,76.60,76.60,74.90,75.10,-0.70,428,45161078
104/02/04,287545,76.50,76.50,75.10,75.20,0.10,240,21724738
104/02/05,371285,75.20,75.50,74.30,74.70,-0.50,310,27671287
104/02/06,259150,75.00,75.20,74.00,74.00,-0.70,196,19269300
104/02/09,396000,74.30,75.10,73.80,74.30,0.30,318,29431900
104/02/10,560169,74.30,74.90,72.60,72.70,-1.60,460,41060683
104/02/11,503827,73.00,73.50,72.00,72.00,-0.70,393,36498911
104/02/12,598710,72.00,72.70,70.60,70.70,-1.30,435,42468095
104/02/13,395114,71.30,72.20,71.10,71.40,0.70,314,28278326
104/02/24,235412,72.20,72.30,71.40,71.50,0.10,191,16893991
104/02/25,266052,72.00,72.50,71.80,72.00,0.50,232,19209344
104/02/26,216773,72.00,72.50,71.80,72.50,0.50,182,15634630
104/03/02,306321,72.70,72.90,71.40,71.50,-1.00,206,21993415
104/03/03,224250,71.70,72.20,71.70,71.70,0.20,187,16110475
104/03/04,350585,71.60,72.70,71.60,72.20,0.50,290,25309659
104/03/05,310922,72.70,72.80,72.00,72.20,,240,22504384
104/03/06,964957,72.20,74.70,72.00,74.10,1.90,746,71262229
104/03/09,276472,73.60,73.90,72.90,73.40,-0.70,227,20282802
104/03/10,260351,73.80,74.10,72.60,72.70,-0.70,227,19068677
104/03/11,240874,72.50,73.20,72.40,72.50,-0.20,200,17530113
104/03/12,206099,73.00,73.50,72.60,72.90,0.40,170,15049806
104/03/13,206513,73.40,73.50,72.40,72.40,-0.50,189,15061886
104/03/16,243600,72.40,72.80,71.80,72.00,-0.40,186,17576938
104/03/17,1284826,73.90,75.40,72.70,74.50,2.50,964,95745334
104/03/18,777280,74.90,75.60,74.10,74.20,-0.30,527,58253891
104/03/19,1787591,74.70,76.80,74.30,75.90,1.70,1106,135918452
104/03/20,504427,76.00,76.20,75.10,75.60,-0.30,349,38093280
104/03/23,481583,75.60,76.20,74.40,74.50,-1.10,368,36012131
104/03/24,239000,74.80,74.90,73.80,73.80,-0.70,207,17708598
104/03/25,370960,74.00,74.40,72.80,72.90,-0.90,280,27159982
104/03/26,359911,72.20,73.20,72.10,73.20,0.30,274,26114145
104/03/27,477497,73.50,73.50,71.50,71.90,-1.30,349,34449084
104/03/30,372315,71.90,72.20,70.20,70.90,-1.00,284,26381596
104/03/31,259100,71.00,72.00,70.80,71.70,0.80,190,18476390
104/04/01,326204,71.10,71.40,70.50,71.00,-0.70,264,23048723
104/04/02,216100,71.00,71.60,70.80,70.80,-0.20,195,15350000
104/04/07,232659,71.50,71.80,71.00,71.00,0.20,192,16585052
104/04/08,216316,71.20,71.60,70.70,70.90,-0.10,172,15375504
104/04/09,415535,70.90,71.50,70.10,70.10,-0.80,309,29343550
104/04/10,698951,70.20,70.50,68.20,68.50,-1.60,495,48240741
104/04/13,271070,68.60,69.50,68.60,69.20,0.70,213,18737457
104/04/14,362751,69.20,71.00,69.20,70.10,0.90,254,25536842
104/04/15,188202,70.20,70.60,69.70,70.20,0.10,150,13183399
104/04/16,160361,70.20,70.50,69.70,69.90,-0.30,126,11220105
104/04/17,220482,70.00,70.00,68.70,68.80,-1.10,181,15242158
104/04/20,244000,68.80,68.80,67.70,67.80,-1.00,178,16622400
104/04/21,547330,68.00,68.20,66.00,66.10,-1.70,417,36485611
104/04/22,273150,66.10,67.50,66.10,67.50,1.40,228,18211524
104/04/23,308217,67.90,68.20,67.00,68.00,0.50,267,20856363
104/04/24,324418,68.20,68.80,67.50,67.70,-0.30,278,22114148
104/04/27,201535,68.40,68.50,67.70,67.70,,188,13710300
104/04/28,373213,67.70,68.40,66.50,66.90,-0.80,297,25034271
104/04/29,274101,67.50,67.70,65.50,66.40,-0.50,212,18146145
104/04/30,199170,66.80,67.50,66.50,67.30,0.90,172,13340139
104/05/04,182358,67.30,67.30,66.00,66.20,-1.10,152,12103598
104/05/05,315078,66.20,66.20,65.60,65.80,-0.40,190,20755048
104/05/06,250734,65.50,67.20,65.50,67.20,1.40,224,16639190
