怡華            ,	1456
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,904,--,--,--,--,,3,5884
104/01/06,36001,6.55,7.32,6.55,7.32,X,13,237274
104/01/07,23000,7.32,7.32,7.18,7.18,-0.14,8,166540
104/01/08,0,--,--,--,--,,0,0
104/01/09,10026,7.25,7.25,7.18,7.18,X,5,72257
104/01/12,5071,7.68,7.68,7.68,7.68,0.50,2,38931
104/01/13,8000,7.68,8.21,7.16,8.21,0.53,5,63740
104/01/14,45,--,--,--,--,,1,346
104/01/15,2141,8.73,8.78,8.73,8.78,X,4,18672
104/01/16,2000,8.96,8.96,8.21,8.21,-0.57,2,17170
104/01/19,0,--,--,--,--,,0,0
104/01/20,4449,7.64,8.76,7.64,8.76,X,9,35920
104/01/21,210,--,--,--,--,,4,1720
104/01/22,16201,8.17,8.58,8.02,8.02,X,7,137358
104/01/23,5478,8.03,8.52,7.48,8.52,0.50,13,42814
104/01/26,20299,7.94,8.36,7.93,8.36,-0.16,6,161489
104/01/27,2996,8.87,8.87,8.20,8.20,-0.16,6,24848
104/01/28,571,--,--,--,--,,1,4373
104/01/29,11600,7.70,7.70,7.70,7.70,X,5,89296
104/01/30,0,--,--,--,--,,0,0
104/02/02,4035,7.23,7.23,7.22,7.22,X,3,29152
104/02/03,2072,6.80,6.80,6.80,6.80,-0.42,2,14089
104/02/04,6100,7.11,7.18,7.11,7.18,0.38,5,43447
104/02/05,461,--,--,--,--,,3,3138
104/02/06,864,--,--,--,--,,2,5918
104/02/09,5931,7.00,7.00,6.91,6.91,X,9,41084
104/02/10,1051,6.73,6.73,6.73,6.73,-0.18,2,7066
104/02/11,867,--,--,--,--,,4,5833
104/02/12,820,--,--,--,--,,2,5165
104/02/13,2820,7.10,7.10,6.80,6.80,X,4,19156
104/02/24,1800,7.18,7.18,7.18,7.18,0.38,3,12564
104/02/25,0,--,--,--,--,,0,0
104/02/26,21696,7.27,7.29,7.18,7.18,X,10,156714
104/03/02,10000,7.18,7.18,7.18,7.18,,3,71800
104/03/03,5166,7.18,7.18,7.18,7.18,,5,37047
104/03/04,7046,6.80,7.30,6.71,7.30,0.12,7,48586
104/03/05,8000,6.82,7.80,6.82,7.80,0.50,6,57930
104/03/06,4653,7.80,8.29,7.80,8.29,0.49,7,36859
104/03/09,2298,8.30,8.30,8.30,8.30,0.01,5,18986
104/03/10,5425,8.30,8.30,8.30,8.30,,4,44887
104/03/11,11061,8.30,8.65,8.30,8.65,0.35,5,93629
104/03/12,0,--,--,--,--,,0,0
104/03/13,3001,8.20,8.20,8.20,8.20,X,2,24607
104/03/16,5999,8.09,8.10,8.09,8.10,-0.10,6,48350
104/03/17,5065,7.90,7.90,7.90,7.90,-0.20,3,39996
104/03/18,6000,7.35,7.35,7.35,7.35,-0.55,6,44100
104/03/19,30073,7.35,7.82,6.87,7.30,-0.05,9,220601
104/03/20,10668,7.00,7.00,7.00,7.00,-0.30,5,74555
104/03/23,219,--,--,--,--,,4,1466
104/03/24,4,--,--,--,--,,1,26
104/03/25,7005,6.66,6.90,6.66,6.90,X,5,46895
104/03/26,14186,6.88,7.00,6.88,7.00,0.10,9,98349
104/03/27,13298,7.30,7.40,7.20,7.20,0.20,7,95668
104/03/30,12690,7.20,7.20,6.80,6.80,-0.40,8,90171
104/03/31,25053,7.20,7.20,6.55,7.19,0.39,11,170927
104/04/01,549,--,--,--,--,,2,3733
104/04/02,5016,6.99,6.99,6.99,6.99,X,6,35058
104/04/07,129,--,--,--,--,,2,865
104/04/08,180,--,--,--,--,,1,1197
104/04/09,0,--,--,--,--,,0,0
104/04/10,132,--,--,--,--,,3,870
104/04/13,1200,6.99,6.99,6.99,6.99,X,8,8349
104/04/14,83013,7.00,7.10,6.99,7.00,0.01,15,581241
104/04/15,3,--,--,--,--,,1,21
104/04/16,4535,7.00,7.00,6.68,6.68,X,6,31252
104/04/17,22183,6.99,6.99,6.99,6.99,0.31,9,155005
104/04/20,26,--,--,--,--,,1,169
104/04/21,72442,7.00,7.47,7.00,7.40,X,18,534795
104/04/22,4620,7.00,7.00,7.00,7.00,-0.40,8,32176
104/04/23,176,--,--,--,--,,2,1173
104/04/24,3490,7.10,7.10,7.10,7.10,X,10,24433
104/04/27,159,--,--,--,--,,1,1065
