界霖            ,	5285
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,108000,46.00,46.00,45.00,45.35,-0.65,55,4879350
104/01/06,100100,45.35,45.35,44.55,44.80,-0.55,61,4486320
104/01/07,130000,46.10,46.30,45.15,45.50,0.70,86,5929700
104/01/08,137000,45.90,46.10,44.40,44.50,-1.00,107,6183050
104/01/09,48000,44.80,44.80,44.50,44.60,0.10,30,2141200
104/01/12,94100,44.30,45.00,44.30,44.70,0.10,58,4201390
104/01/13,92000,44.50,45.20,44.50,44.80,0.10,55,4119500
104/01/14,51000,44.80,45.10,44.70,44.80,,23,2285050
104/01/15,30000,44.80,44.85,44.55,44.55,-0.25,23,1340300
104/01/16,45004,44.10,44.30,44.00,44.00,-0.55,34,1985377
104/01/19,109000,44.20,45.45,44.00,44.70,0.70,65,4899000
104/01/20,23001,44.80,44.85,44.55,44.60,-0.10,17,1026244
104/01/21,17000,44.60,45.10,44.50,45.10,0.50,5,758600
104/01/22,25000,45.25,45.35,44.80,44.85,-0.25,18,1126200
104/01/23,28000,44.85,44.90,44.75,44.90,0.05,19,1256050
104/01/26,73000,44.85,45.00,44.70,45.00,0.10,26,3270550
104/01/27,25000,45.00,45.00,44.70,45.00,,20,1122350
104/01/28,47000,45.00,45.50,44.80,45.30,0.30,32,2118100
104/01/29,14000,45.00,45.30,45.00,45.10,-0.20,10,631550
104/01/30,37000,45.10,45.20,45.00,45.20,0.10,25,1671600
104/02/02,26000,45.00,45.00,44.05,44.35,-0.85,11,1159350
104/02/03,21150,44.50,44.50,44.20,44.35,,13,938362
104/02/04,19000,44.35,44.60,44.35,44.50,0.15,11,845100
104/02/05,20000,44.50,44.50,44.35,44.40,-0.10,12,888750
104/02/06,15000,44.40,44.40,44.25,44.25,-0.15,10,664450
104/02/09,15000,44.25,44.50,44.25,44.35,0.10,11,665550
104/02/10,13000,44.80,45.00,44.60,45.00,0.65,12,584200
104/02/11,32001,45.00,45.10,44.70,44.70,-0.30,27,1439144
104/02/12,12000,44.50,44.95,44.50,44.75,0.05,6,535100
104/02/13,53000,45.00,45.00,44.50,45.00,0.25,24,2368500
