力特            ,	3051
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,2448313,6.10,6.42,6.10,6.42,0.42,310,15587222
104/01/06,5281387,6.85,6.86,6.65,6.80,0.38,513,36082178
104/01/07,3149434,6.51,7.00,6.51,7.00,0.20,419,21618778
104/01/08,4783092,7.24,7.49,7.10,7.45,0.45,726,35243841
104/01/09,3833479,7.72,7.72,7.35,7.48,0.03,493,28750214
104/01/12,3098754,7.59,7.77,7.50,7.64,0.16,389,23594503
104/01/13,8658390,8.17,8.17,8.00,8.17,0.53,933,70625240
104/01/14,3488655,8.74,8.74,8.74,8.74,0.57,363,30490821
104/01/15,4415053,9.35,9.35,9.35,9.35,0.61,1088,41280719
104/01/16,3664793,10.00,10.00,10.00,10.00,0.65,628,36647930
104/01/19,23803513,10.70,10.70,10.05,10.40,0.40,3662,250042167
104/01/20,9703139,10.70,11.10,10.70,11.10,0.70,1176,106454297
104/01/21,4194886,11.85,11.85,11.85,11.85,0.75,482,49709363
104/01/22,2325186,12.65,12.65,12.65,12.65,0.80,330,29413576
104/01/23,1868964,13.50,13.50,13.50,13.50,0.85,416,25231001
104/01/26,24774928,14.40,14.40,13.10,14.40,0.90,3180,344575429
104/01/27,6915031,15.30,15.30,14.60,14.80,0.40,1383,103972120
104/01/28,8405101,14.50,14.75,13.80,13.80,-1.00,923,119582692
104/01/29,12968315,13.50,14.30,13.30,14.30,0.50,1428,175942932
104/01/30,5845568,14.05,14.30,13.70,14.20,-0.10,695,81800302
104/02/02,4829237,14.45,14.50,13.95,13.95,-0.25,464,68699999
104/02/03,4107428,13.95,14.25,13.85,14.25,0.30,504,57971919
104/02/04,8434013,14.25,15.20,14.25,15.20,0.95,999,125567392
104/02/05,6627264,15.40,15.80,14.60,14.65,-0.55,835,100635137
104/02/06,3706278,14.70,15.00,14.30,15.00,0.35,494,54589021
104/02/09,6517142,15.20,16.05,15.20,16.05,1.05,899,103144867
104/02/10,6066218,16.20,16.20,14.95,14.95,-1.10,650,95326355
104/02/11,10464569,14.60,15.35,13.95,13.95,-1.00,1144,148037119
104/02/12,5218699,13.95,14.65,13.60,14.60,0.65,901,73855222
104/02/13,3622484,14.70,14.90,14.15,14.55,-0.05,663,52565261
104/02/24,2379006,14.75,14.90,14.20,14.20,-0.35,492,34583167
104/02/25,5689645,14.15,14.20,13.25,13.25,-0.95,871,76235635
104/02/26,6089267,13.10,14.10,12.40,14.00,0.75,1259,80767535
104/03/02,2808823,13.95,14.25,13.50,13.70,-0.30,516,38874970
104/03/03,1971074,13.70,13.95,13.45,13.60,-0.10,421,27115292
104/03/04,1970279,13.75,13.75,13.35,13.40,-0.20,403,26682385
104/03/05,2935065,13.40,13.80,13.25,13.50,0.10,533,39668811
104/03/06,5395163,13.50,13.60,12.60,13.00,-0.50,972,70530745
104/03/09,1438154,13.05,13.40,12.65,12.90,-0.10,274,18724522
104/03/10,4889598,12.90,13.00,12.00,12.40,-0.50,802,60264545
104/03/11,3223212,12.40,13.25,12.40,13.25,0.85,632,41867147
104/03/12,3852777,13.35,14.00,13.35,13.75,0.50,1338,53204173
104/03/13,3034216,13.70,14.05,13.45,13.80,0.05,597,41585653
104/03/16,4434639,13.85,14.15,13.85,14.05,0.25,735,62341108
104/03/17,2212629,14.25,14.30,13.75,14.00,-0.05,580,31098133
104/03/18,3152853,13.90,14.30,13.90,14.20,0.20,817,44631317
104/03/19,8772800,14.40,15.15,14.30,14.70,0.50,1178,130143466
104/03/20,2004884,14.70,14.85,14.35,14.55,-0.15,408,29336014
104/03/23,1592124,14.75,14.75,14.15,14.30,-0.25,309,22924509
104/03/24,1052213,14.35,14.50,14.15,14.45,0.15,256,15087201
104/03/25,2211300,14.45,14.65,14.20,14.40,-0.05,368,31982999
104/03/26,1576926,14.10,14.35,13.90,14.35,-0.05,349,22214242
104/03/27,5505398,14.25,14.35,13.35,13.35,-1.00,779,74522882
104/03/30,2842669,13.20,13.35,12.45,13.10,-0.25,623,36611548
104/03/31,2377972,13.45,13.50,12.90,13.00,-0.10,513,31409521
104/04/01,1238420,12.90,13.45,12.55,13.35,0.35,328,16170709
104/04/02,1399869,13.35,13.50,13.00,13.40,0.05,295,18754745
104/04/07,2541870,13.35,13.35,12.70,12.75,-0.65,549,32635776
104/04/08,2231959,12.75,12.75,12.05,12.20,-0.55,557,27580488
104/04/09,1468062,12.20,12.85,12.15,12.75,0.55,365,18506869
104/04/10,1300013,12.75,12.90,12.25,12.65,-0.10,429,16207269
104/04/13,5430092,12.30,12.30,11.80,11.80,-0.85,686,64246823
104/04/14,2196911,11.35,12.55,11.35,12.40,0.60,470,26729033
104/04/15,689153,12.50,12.60,12.40,12.60,0.20,238,8592815
104/04/16,944957,12.60,12.80,12.30,12.30,-0.30,254,11860567
104/04/17,826369,12.50,12.50,11.80,12.10,-0.20,225,10057630
104/04/20,1295106,12.00,12.00,11.75,11.90,-0.20,240,15390565
104/04/21,1686659,12.15,12.15,11.15,11.45,-0.45,345,19284990
104/04/22,1039969,11.35,11.70,11.05,11.65,0.20,223,11751735
104/04/23,411635,11.65,11.65,11.35,11.45,-0.20,134,4729216
104/04/24,1793190,11.60,12.25,11.45,12.25,0.80,370,21842603
104/04/27,962071,12.50,12.50,12.10,12.30,0.05,241,11819210
104/04/28,1012197,12.30,12.30,11.85,12.00,-0.30,256,12189664
104/04/29,1446496,12.10,12.75,12.05,12.45,0.45,240,17905917
104/04/30,1249119,12.50,12.75,12.30,12.50,0.05,283,15665120
104/05/04,1096399,12.50,12.70,12.20,12.60,0.10,229,13666327
104/05/05,2080755,12.60,12.60,11.75,12.00,-0.60,440,25196545
104/05/06,1965672,12.00,12.75,12.00,12.40,0.40,368,24401295
104/05/07,800706,12.40,12.95,12.40,12.40,,229,10080687
104/05/08,728306,12.40,12.60,12.30,12.55,0.15,179,9061353
104/05/11,2009289,12.85,12.90,12.30,12.35,-0.20,446,25194461
104/05/12,1273154,12.10,12.70,12.00,12.65,0.30,347,15760232
104/05/13,3038293,12.60,13.50,12.60,13.50,0.85,558,40428097
104/05/14,5094800,14.15,14.30,13.70,13.95,0.45,978,71528446
104/05/15,8220147,14.90,14.90,13.50,13.80,-0.15,1339,118066813
104/05/18,2043637,13.85,14.10,13.60,14.00,0.20,509,28454093
104/05/19,6611795,14.85,14.85,14.20,14.55,0.55,1307,96264984
104/05/20,11811058,14.85,15.20,13.90,14.00,-0.55,2542,171096062
