聯昌            ,	2431
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,1231002,23.80,24.10,23.80,23.95,0.05,505,29474748
104/01/06,1190394,23.50,23.75,23.25,23.35,-0.60,621,27911939
104/01/07,9213095,23.20,24.95,23.20,24.95,1.60,3351,225465814
104/01/08,13263941,25.30,26.30,25.30,25.30,0.35,5428,341230857
104/01/09,4336526,25.50,25.60,24.80,25.20,-0.10,1832,108845922
104/01/12,2646683,25.20,25.20,24.50,24.70,-0.50,1225,65638814
104/01/13,2243828,24.75,25.15,24.65,24.80,0.10,1024,55815254
104/01/14,1404323,24.90,24.95,24.50,24.55,-0.25,662,34597991
104/01/15,1508751,24.55,24.80,24.35,24.50,-0.05,698,37085871
104/01/16,1718241,24.60,24.70,24.00,24.00,-0.50,793,41634457
104/01/19,2299110,24.35,24.35,23.20,23.40,-0.60,992,54366019
104/01/20,1322754,23.50,24.05,23.50,23.90,0.50,643,31482043
104/01/21,745229,24.10,24.10,23.70,23.75,-0.15,408,17767508
104/01/22,1162446,23.85,24.20,23.75,23.95,0.20,555,27842606
104/01/23,683613,24.10,24.35,23.85,23.85,-0.10,421,16434225
104/01/26,1585197,23.80,24.50,23.75,24.30,0.45,709,38426904
104/01/27,4405149,24.50,25.15,24.45,24.90,0.60,1800,109717405
104/01/28,1744421,24.80,25.05,24.55,24.75,-0.15,702,43175497
104/01/29,2379955,24.65,24.95,24.45,24.60,-0.15,891,58687445
104/01/30,879600,24.70,24.80,24.35,24.35,-0.25,380,21567149
104/02/02,884601,24.35,24.55,23.85,23.95,-0.40,421,21250051
104/02/03,753399,24.00,24.25,23.90,23.90,-0.05,377,18120032
104/02/04,1004479,24.10,24.25,23.90,23.90,,352,24136496
104/02/05,5867824,24.30,25.15,24.10,24.50,0.60,2288,145214874
104/02/06,1084236,24.50,24.70,24.20,24.20,-0.30,554,26442184
104/02/09,674650,24.35,24.35,23.95,24.00,-0.20,331,16274531
104/02/10,801358,24.00,24.20,23.75,23.80,-0.20,385,19139212
104/02/11,2036103,24.50,24.70,24.10,24.10,0.30,984,49813672
104/02/12,544205,24.30,24.30,24.10,24.15,0.05,307,13163189
104/02/13,779844,24.20,24.35,24.10,24.15,,372,18862447
104/02/24,845648,24.50,24.60,24.30,24.40,0.25,446,20688687
104/02/25,6695966,24.65,25.80,24.55,25.55,1.15,2933,170205678
104/02/26,5977827,25.80,26.30,25.45,25.50,-0.05,2705,154420648
104/03/02,2661466,25.80,25.80,24.90,25.50,,1293,67424318
104/03/03,7894064,26.20,27.25,25.95,27.25,1.75,2727,212609835
104/03/04,17424037,27.65,27.90,26.60,26.75,-0.50,6536,477406317
104/03/05,10658667,27.15,27.70,26.90,27.40,0.65,4009,291245816
104/03/06,5942724,27.40,27.90,27.20,27.20,-0.20,2488,163333717
104/03/09,3421034,26.80,27.00,26.25,26.75,-0.45,1623,91261684
104/03/10,9480316,27.45,28.55,27.25,27.50,0.75,4149,264879328
104/03/11,12294724,27.40,29.35,27.20,29.00,1.50,5593,349068196
104/03/12,7098319,29.00,29.20,28.25,28.35,-0.65,3347,203973220
104/03/13,5277719,28.50,29.10,28.50,28.80,0.45,2331,152110384
104/03/16,11684740,28.95,30.45,28.80,29.60,0.80,5279,348866480
104/03/17,4658902,29.90,30.10,29.10,29.20,-0.40,2145,137024533
104/03/18,5694352,29.20,29.75,28.60,29.75,0.55,2612,166054377
104/03/19,5447289,30.10,30.20,29.35,29.50,-0.25,2462,162255420
104/03/20,3715271,29.60,29.60,29.00,29.00,-0.50,1592,108595086
104/03/23,4638088,29.50,29.95,29.00,29.55,0.55,2073,137034024
104/03/24,9916829,29.85,31.00,29.65,29.70,0.15,4438,301183727
104/03/25,7140454,29.75,30.00,28.00,28.35,-1.35,3281,204834307
104/03/26,5235043,28.10,29.15,28.00,28.70,0.35,2572,150714418
104/03/27,2429293,28.70,28.90,28.05,28.20,-0.50,1294,68964654
104/03/30,2445541,27.20,27.40,26.25,26.25,-1.95,1137,64699242
104/03/31,5063539,25.15,26.20,25.05,25.90,-0.35,2254,129250436
104/04/01,4104589,25.70,26.25,25.40,25.40,-0.50,1805,105912672
104/04/02,2822833,25.75,25.90,25.05,25.05,-0.35,1397,71704569
104/04/07,1662279,25.15,25.80,25.15,25.55,0.50,980,42424377
104/04/08,1961830,25.65,25.95,25.20,25.20,-0.35,979,50188137
104/04/09,4092993,25.60,26.15,25.40,25.50,0.30,1639,105915168
104/04/10,1101922,26.00,26.00,25.50,25.75,0.25,571,28274049
104/04/13,1679311,25.75,25.95,25.15,25.25,-0.50,852,42751346
104/04/14,779050,25.30,25.45,25.25,25.35,0.10,377,19743414
104/04/15,1071354,25.35,25.75,25.25,25.30,-0.05,518,27270049
104/04/16,1926346,25.30,25.65,23.60,24.00,-1.30,1005,47513814
104/04/17,3825406,24.00,24.20,22.55,23.00,-1.00,1930,88317800
104/04/20,1469619,22.90,23.80,22.70,23.30,0.30,867,34435126
104/04/21,1466423,23.80,23.80,22.70,22.70,-0.60,741,33700985
104/04/22,5201001,22.90,23.35,21.80,23.15,0.45,2151,117409273
104/04/23,1498935,23.30,23.45,22.80,22.80,-0.35,877,34629720
104/04/24,1063500,23.00,23.15,22.75,22.90,0.10,602,24424546
104/04/27,1045971,23.10,23.10,22.50,22.70,-0.20,600,23826042
104/04/28,1078550,22.70,22.85,22.25,22.35,-0.35,590,24249539
104/04/29,2006578,22.45,22.50,21.00,21.40,-0.95,1025,43531082
104/04/30,1141860,21.40,22.15,21.40,22.10,0.70,633,25006961
104/05/04,601007,22.10,22.30,21.80,21.80,-0.30,310,13223947
104/05/05,1503091,21.70,21.80,20.85,21.05,-0.75,757,31974429
104/05/06,1980750,21.00,21.85,20.50,21.85,0.80,1084,42135008
104/05/07,3700922,21.80,23.30,21.55,22.55,0.70,1879,83895742
104/05/08,1275370,22.50,22.75,21.90,21.90,-0.65,647,28303513
104/05/11,1812159,21.90,21.90,20.40,20.40,-1.50,845,37580270
104/05/12,3457851,20.00,20.30,19.00,19.70,-0.70,1406,66775959
104/05/13,2546060,19.70,20.65,19.50,20.35,0.65,1235,51710773
104/05/14,2178251,20.30,21.00,20.30,20.55,0.20,1045,45095150
104/05/15,1388308,20.60,20.65,19.75,20.00,-0.55,723,27929460
104/05/18,1483211,19.80,20.10,19.25,19.30,-0.70,694,28994020
104/05/19,1068060,19.40,20.00,19.40,19.95,0.65,628,21149047
104/05/20,940244,19.95,20.40,19.60,20.00,0.05,536,18829830
104/05/21,1961005,19.80,20.70,19.80,20.30,0.30,914,40084807
104/05/22,1096218,20.35,20.70,20.35,20.35,0.05,556,22455357
104/05/25,666123,20.35,20.40,20.05,20.20,-0.15,354,13469372
104/05/26,4310994,20.90,21.60,20.65,21.60,1.40,1873,92022667
104/05/27,6540647,21.80,22.80,21.50,22.15,0.55,3012,145240914
104/05/28,2049494,22.20,22.25,21.75,21.80,-0.35,1023,44947919
104/05/29,1110186,21.90,22.05,21.65,21.80,,554,24242786
104/06/01,1088249,21.85,21.85,20.80,21.20,-0.60,538,23102678
