全國            ,	9937
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,224050,35.95,36.15,35.45,36.10,0.15,120,8051347
104/01/06,324963,36.00,36.45,36.00,36.40,0.30,134,11795360
104/01/07,67000,36.05,36.10,36.00,36.10,-0.30,49,2417250
104/01/08,120233,36.15,36.15,36.10,36.10,,59,4340214
104/01/09,65000,36.10,36.10,36.00,36.00,-0.10,44,2341100
104/01/12,180147,35.60,36.15,35.60,36.10,0.10,110,6500934
104/01/13,752000,36.05,36.30,35.90,36.10,,119,27149150
104/01/14,388376,36.40,36.40,35.85,36.00,-0.10,167,13985478
104/01/15,186000,36.00,36.20,36.00,36.20,0.20,85,6710000
104/01/16,650000,35.90,36.15,35.80,36.10,-0.10,367,23398900
104/01/19,412100,36.30,36.30,35.85,36.00,-0.10,161,14857250
104/01/20,6013000,36.10,36.40,36.00,36.05,0.05,150,216800650
104/01/21,204462,36.20,36.20,36.00,36.20,0.15,87,7387054
104/01/22,379182,36.15,36.25,36.00,36.20,,288,13708052
104/01/23,245586,35.90,36.15,35.90,36.10,-0.10,112,8862136
104/01/26,424000,36.10,36.10,35.85,35.95,-0.15,178,15275950
104/01/27,365316,36.10,36.15,35.90,35.95,,119,13177328
104/01/28,137000,35.95,36.20,35.95,36.10,0.15,115,4939250
104/01/29,168472,36.10,36.20,36.10,36.20,0.10,61,6085968
104/01/30,451002,36.00,36.15,35.65,36.15,-0.05,157,16229622
104/02/02,433230,36.20,36.25,36.00,36.15,,165,15664130
104/02/03,958340,36.40,36.40,35.80,36.05,-0.10,348,34541857
104/02/04,191037,35.90,36.20,35.90,36.10,0.05,66,6894183
104/02/05,131594,36.15,36.20,36.10,36.20,0.10,51,4760823
104/02/06,113376,36.20,36.20,36.00,36.10,-0.10,42,4093447
104/02/09,679030,36.10,36.40,35.90,36.35,0.25,512,24536900
104/02/10,474200,35.90,36.45,35.90,36.40,0.05,266,17244660
104/02/11,272400,36.40,36.45,36.25,36.45,0.05,202,9909550
104/02/12,298472,36.40,36.85,36.35,36.80,0.35,198,10935274
104/02/13,394450,36.80,37.10,36.75,37.10,0.30,198,14558955
104/02/24,209818,37.20,37.90,37.20,37.80,0.70,117,7881896
104/02/25,109361,37.90,37.90,37.65,37.90,0.10,75,4138009
104/02/26,302066,37.85,38.60,37.80,38.50,0.60,133,11588331
104/03/02,249373,38.50,38.80,38.35,38.55,0.05,117,9623185
104/03/03,103186,38.55,38.85,38.50,38.80,0.25,45,3991210
104/03/04,137667,38.50,38.80,38.50,38.75,-0.05,43,5332428
104/03/05,27000,38.75,38.75,38.55,38.65,-0.10,18,1041700
104/03/06,492826,38.80,39.50,38.60,39.50,0.85,210,19266850
104/03/09,370108,39.30,39.30,37.95,39.20,-0.30,189,14487194
104/03/10,448916,39.20,39.20,38.80,39.00,-0.20,164,17507285
104/03/11,3409030,38.95,39.05,38.95,39.00,,192,132944065
104/03/12,385859,38.95,39.25,38.65,39.20,0.20,198,15050501
104/03/13,562892,39.20,39.25,39.15,39.20,,227,22064988
104/03/16,455288,39.20,39.30,39.20,39.20,,173,17848939
104/03/17,542742,39.20,39.30,39.10,39.25,0.05,233,21284424
104/03/18,468775,39.20,39.55,39.05,39.40,0.15,231,18418767
104/03/19,349375,39.35,39.45,39.15,39.15,-0.25,204,13729675
104/03/20,136151,39.20,39.30,39.00,39.05,-0.10,85,5329239
104/03/23,153195,39.00,39.20,39.00,39.00,-0.05,55,5976034
104/03/24,141962,39.00,39.10,39.00,39.05,0.05,72,5538021
104/03/25,230400,39.00,39.05,38.45,38.50,-0.55,93,8924289
104/03/26,84872,38.50,38.90,38.40,38.40,-0.10,66,3275247
104/03/27,189000,38.40,38.40,37.60,37.85,-0.55,96,7160700
104/03/30,76748,37.55,38.00,37.55,37.85,,55,2900662
104/03/31,616701,36.40,37.90,36.40,37.75,-0.10,193,23276907
104/04/01,102097,37.80,37.90,37.70,37.90,0.15,68,3859098
104/04/02,60564,37.90,37.90,37.60,37.85,-0.05,315,2291196
104/04/07,104240,37.85,38.00,37.80,37.95,0.10,291,3946132
104/04/08,127209,37.80,38.00,37.55,37.90,-0.05,214,4818792
104/04/09,102158,37.60,37.90,37.60,37.85,-0.05,129,3865376
104/04/10,163522,38.00,38.00,37.85,37.90,0.05,150,6190064
104/04/13,261304,38.05,38.40,37.60,37.85,-0.05,268,9886746
104/04/14,206879,37.80,37.85,37.80,37.80,-0.05,124,7825450
104/04/15,311075,37.75,37.80,37.40,37.80,,231,11724575
104/04/16,365263,37.50,37.85,37.10,37.80,,223,13798194
104/04/17,79040,37.80,37.80,37.60,37.80,,85,2981870
104/04/20,82216,37.80,37.80,37.65,37.80,,224,3104808
104/04/21,91411,37.65,37.75,37.60,37.65,-0.15,176,3442845
104/04/22,53296,37.65,37.65,37.50,37.50,-0.15,113,2001857
104/04/23,65116,37.50,37.75,37.50,37.75,0.25,109,2451442
104/04/24,311030,37.75,37.75,37.45,37.70,-0.05,172,11679528
104/04/27,79380,37.70,37.80,37.60,37.70,,85,2991914
104/04/28,63837,37.50,37.70,37.50,37.65,-0.05,70,2402851
104/04/29,204108,37.65,37.80,37.65,37.80,0.15,149,7703280
104/04/30,143190,37.65,37.75,37.55,37.65,-0.15,120,5389352
104/05/04,21472,37.65,37.65,37.50,37.55,-0.10,38,806749
104/05/05,68861,37.50,37.55,37.45,37.55,,78,2581913
104/05/06,95003,37.50,37.75,36.50,37.75,0.20,58,3569911
104/05/07,149004,37.50,38.00,37.50,38.00,0.25,97,5624898
104/05/08,235063,38.45,38.45,37.70,38.00,,128,8913794
104/05/11,94447,38.05,38.10,37.70,37.80,-0.20,77,3582450
104/05/12,119470,37.80,38.00,37.75,37.95,0.15,99,4527517
104/05/13,39004,37.95,38.10,37.95,37.95,,25,1481702
104/05/14,45948,37.95,38.00,37.50,38.00,0.05,43,1739984
104/05/15,26005,37.95,38.10,37.80,38.10,0.10,24,986940
104/05/18,18046,37.95,38.05,37.85,38.00,-0.10,63,685152
104/05/19,91036,38.10,38.10,37.25,38.00,,90,3440283
104/05/20,56442,38.00,38.00,37.25,37.95,-0.05,54,2126412
104/05/21,122101,37.65,37.95,37.30,37.95,,101,4612167
104/05/22,655123,37.55,38.00,37.55,38.00,0.05,61,24884235
104/05/25,65974,37.95,37.95,37.50,37.85,-0.15,66,2487018
104/05/26,171220,37.85,38.00,37.80,37.95,0.10,72,6498616
104/05/27,38454,37.90,38.05,37.85,37.95,,30,1459760
104/05/28,59240,37.95,38.20,37.90,38.00,0.05,49,2251620
104/05/29,162463,38.00,38.05,37.90,37.90,-0.10,62,6163195
104/06/01,239011,37.95,38.00,37.90,37.95,0.05,95,9067164
104/06/02,116362,37.90,37.90,37.85,37.90,-0.05,55,4409896
104/06/03,64000,37.90,37.90,37.50,37.65,-0.25,54,2407950
104/06/04,131000,37.50,37.60,37.50,37.50,-0.15,90,4913650
104/06/05,193000,37.10,37.10,36.90,36.95,-0.55,114,7138200
104/06/08,82002,36.95,37.45,36.65,36.70,-0.25,57,3020823
104/06/09,50932,36.60,36.80,36.50,36.65,-0.05,27,1869370
104/06/10,25565,36.65,36.80,36.55,36.55,-0.10,22,937409
104/06/11,295872,36.70,37.40,36.65,37.20,0.65,177,11011064
104/06/12,195155,37.20,37.45,36.90,37.40,0.20,116,7260264
104/06/15,129000,37.40,37.45,37.20,37.45,0.05,99,4815200
104/06/16,146500,37.60,37.70,37.00,37.70,0.25,98,5493099
104/06/17,190272,37.30,37.85,37.10,37.85,0.15,161,7130304
104/06/18,144103,37.95,38.10,37.55,38.10,0.25,110,5463108
104/06/22,210499,38.15,38.30,37.80,38.20,0.10,153,8009562
104/06/23,229946,38.20,38.20,38.00,38.20,,160,8768244
104/06/24,239001,38.25,38.30,37.95,38.30,0.10,158,9129238
104/06/25,267006,38.20,38.30,38.00,38.30,,170,10210778
104/06/26,15002,37.85,37.90,37.65,37.65,-0.65,16,567324
104/06/29,96014,37.40,37.40,36.55,36.95,-0.70,85,3539261
104/06/30,3865,36.95,37.00,36.90,36.90,-0.05,11,142590
104/07/01,41000,36.90,36.95,36.40,36.95,0.05,26,1506650
104/07/02,60409,36.50,36.95,36.50,36.50,-0.45,57,2220266
104/07/03,203872,36.30,37.00,35.55,37.00,0.50,140,7379295
104/07/06,55001,37.20,37.20,36.00,36.95,-0.05,46,2024736
104/07/07,88001,36.30,36.95,36.30,36.95,,60,3238086
104/07/08,93075,36.80,37.45,36.45,37.05,0.10,62,3421560
104/07/09,74000,36.15,36.95,36.15,36.95,-0.10,56,2724950
104/07/13,69000,36.40,36.95,36.40,36.95,,54,2539200
104/07/14,85119,36.50,36.95,36.50,36.95,,81,3130879
104/07/15,139000,36.60,36.95,36.50,36.95,,107,5101950
104/07/16,75172,36.95,36.95,36.55,36.85,-0.10,46,2768543
104/07/17,77436,36.55,37.00,36.50,36.80,-0.05,66,2846828
104/07/20,74175,36.60,36.80,36.50,36.55,-0.25,51,2718819
104/07/21,67049,36.80,36.80,36.45,36.80,0.25,50,2459892
104/07/22,96181,36.40,36.80,36.40,36.70,-0.10,64,3523556
104/07/23,67000,36.50,36.70,36.45,36.70,,53,2454500
104/07/24,68005,36.70,37.00,36.35,36.60,-0.10,39,2494480
104/07/27,80355,36.80,36.90,36.70,36.70,0.10,56,2954771
104/07/28,209465,36.70,36.85,36.50,36.65,-0.05,152,7673418
104/07/29,88254,35.50,35.85,35.30,35.60,X,75,3137466
104/07/30,62182,35.60,35.60,35.10,35.60,,43,2208501
104/07/31,137000,35.40,35.45,35.00,35.45,-0.15,90,4830500
104/08/03,56069,35.25,35.35,35.00,35.35,-0.10,43,1973671
104/08/04,38404,35.00,35.50,35.00,35.45,0.10,33,1355069
104/08/05,99010,35.30,35.30,34.90,35.20,-0.25,63,3485600
104/08/06,28033,35.50,35.50,35.30,35.30,0.10,12,989758
104/08/07,23001,35.30,35.30,35.10,35.30,,14,811535
104/08/10,28099,35.05,35.35,35.05,35.15,-0.15,18,987849
104/08/11,119001,35.05,35.15,33.50,35.00,-0.15,89,4130585
104/08/12,43005,34.90,35.15,34.20,35.00,,33,1502875
104/08/13,121000,35.00,35.20,34.65,35.10,0.10,52,4237100
104/08/14,59000,35.10,35.25,35.00,35.10,,26,2071750
104/08/17,63001,34.75,35.75,34.70,35.25,0.15,23,2220785
104/08/18,40308,34.95,35.30,34.95,35.30,0.05,31,1415760
104/08/19,126561,35.25,35.45,34.95,35.40,0.10,117,4443940
104/08/20,45099,35.40,35.40,35.00,35.30,-0.10,42,1587524
104/08/21,1808000,35.00,37.25,34.95,35.95,0.65,91,64939350
104/08/24,301011,35.55,35.95,35.20,35.50,-0.45,170,10690990
104/08/25,190815,35.40,35.70,35.30,35.55,0.05,108,6769194
104/08/26,48092,35.45,36.00,35.45,35.50,-0.05,30,1715230
104/08/27,95100,35.30,35.55,35.30,35.50,,74,3374810
104/08/28,36188,35.55,36.15,35.55,36.00,0.50,24,1300168
104/08/31,195002,35.95,36.15,34.25,34.25,-1.75,125,6861722
104/09/01,84371,35.30,35.50,35.05,35.50,1.25,64,2976795
104/09/02,44009,35.50,35.85,35.40,35.85,0.35,34,1564521
104/09/03,23005,35.65,35.90,35.65,35.80,-0.05,23,820879
104/09/04,41462,35.85,35.90,35.65,35.65,-0.15,31,1483273
104/09/07,71175,35.10,36.00,35.10,35.75,0.10,41,2554262
104/09/08,69929,35.90,36.60,35.50,35.75,,37,2515679
104/09/09,3099,35.75,35.90,35.75,35.90,0.15,4,110994
104/09/10,8308,36.00,36.00,35.75,35.75,-0.15,10,297383
104/09/11,31001,36.00,36.00,35.50,35.65,-0.10,31,1106485
104/09/14,28001,36.00,36.00,35.75,35.95,0.30,27,1007185
104/09/15,13818,35.80,35.95,35.75,35.75,-0.20,14,494729
104/09/16,31000,36.00,36.00,35.80,35.90,0.15,26,1111850
104/09/17,27006,35.70,35.90,35.70,35.85,-0.05,26,968263
104/09/18,22164,35.75,35.95,35.75,35.75,-0.10,20,794030
104/09/21,85001,35.50,35.90,35.20,35.60,-0.15,77,3020185
104/09/22,30705,35.85,35.90,35.50,35.50,-0.10,33,1096721
104/09/23,32000,35.50,35.85,35.35,35.55,0.05,28,1140200
104/09/24,22000,35.85,35.85,35.55,35.75,0.20,17,785200
104/09/25,22133,35.90,35.90,35.60,35.65,-0.10,27,790857
104/09/30,1050001,35.80,36.00,35.55,35.70,0.05,44,37492585
104/10/01,103000,36.00,36.00,35.90,36.00,0.30,52,3706650
104/10/02,84005,36.00,36.10,35.85,35.90,-0.10,48,3019176
104/10/05,46001,35.90,36.00,35.50,35.85,-0.05,29,1650785
104/10/06,51328,36.00,36.00,35.70,35.95,0.10,31,1843725
104/10/07,45500,36.00,36.00,35.85,35.85,-0.10,27,1635350
104/10/08,45947,36.00,36.00,35.80,36.00,0.15,33,1651151
104/10/12,73004,36.00,36.00,35.35,36.00,,64,2620990
104/10/13,81001,35.80,36.00,35.80,35.95,-0.05,47,2911535
104/10/14,51002,36.00,36.15,35.90,36.00,0.05,31,1836271
104/10/15,110021,36.15,36.15,36.00,36.00,,100,3961206
104/10/16,85280,36.00,36.05,35.95,35.95,-0.05,81,3070145
104/10/19,94405,35.95,36.00,35.60,35.90,-0.05,75,3389387
104/10/20,113735,35.95,37.40,35.90,36.25,0.35,63,4136960
104/10/21,46000,36.05,37.25,36.05,36.25,,15,1672350
104/10/22,17130,36.05,36.70,36.05,36.70,0.45,17,620006
104/10/23,9000,36.70,36.70,36.15,36.45,-0.25,6,329300
104/10/26,43552,36.45,36.45,36.05,36.05,-0.40,27,1572992
104/10/27,47527,36.00,36.30,36.00,36.00,-0.05,28,1713032
104/10/28,3750,36.00,36.00,36.00,36.00,,4,134923
104/10/29,18000,36.00,36.10,36.00,36.00,,14,649100
104/10/30,71001,36.00,37.20,36.00,36.15,0.15,37,2607286
104/11/02,11000,36.10,36.15,36.00,36.15,,10,397050
104/11/03,7001,36.00,36.05,36.00,36.05,-0.10,8,252335
104/11/04,51500,36.05,37.00,36.05,36.90,0.85,48,1892050
104/11/05,133003,36.25,36.60,35.95,36.45,-0.45,85,4797158
104/11/06,67000,36.05,36.40,36.00,36.40,-0.05,46,2427050
104/11/09,40000,36.40,36.40,36.35,36.40,,24,1455900
104/11/10,97872,36.40,36.40,36.30,36.35,-0.05,61,3557779
104/11/11,95002,36.35,36.35,36.30,36.35,,74,3453072
104/11/12,18001,36.30,36.55,36.10,36.10,-0.25,13,653736
104/11/13,92001,36.10,36.20,35.50,36.10,,55,3316886
104/11/16,105000,36.05,36.10,36.00,36.05,-0.05,77,3785650
104/11/17,45001,36.00,36.10,36.00,36.10,0.05,30,1621886
104/11/18,21419,36.10,36.40,36.05,36.10,,21,773262
104/11/19,38436,36.10,36.30,36.10,36.20,0.10,32,1388839
104/11/20,5003,36.55,36.55,36.45,36.45,0.25,8,182658
104/11/23,9552,36.75,36.75,36.15,36.30,-0.15,16,347322
104/11/24,35579,36.10,36.35,36.10,36.30,,30,1285144
104/11/25,57003,36.10,36.15,35.90,36.10,-0.20,30,2055908
104/11/26,35005,36.40,36.40,36.00,36.15,0.05,23,1262480
104/11/27,62695,36.10,36.15,36.05,36.10,-0.05,35,2262897
104/11/30,128009,36.10,36.20,36.00,36.20,0.10,60,4622124
104/12/01,61007,36.20,36.25,36.15,36.25,0.05,38,2210502
104/12/02,493872,36.25,36.35,36.15,36.35,0.10,68,17945914
104/12/03,48008,36.30,36.35,36.30,36.30,-0.05,30,1743988
104/12/04,3428004,36.35,36.40,36.30,36.40,0.10,117,124772344
104/12/07,34201,36.30,36.30,36.00,36.25,-0.15,26,1235236
104/12/08,122006,36.30,36.30,36.05,36.15,-0.10,44,4409466
104/12/09,106753,36.10,36.30,36.05,36.10,-0.05,46,3854508
104/12/10,136500,36.10,36.20,36.10,36.15,0.05,75,4928046
104/12/11,90566,36.20,36.20,36.05,36.10,-0.05,52,3269654
104/12/14,73272,35.85,36.10,35.85,35.95,-0.15,59,2637655
104/12/15,88110,35.90,36.00,35.85,35.85,-0.10,36,3167719
104/12/16,42014,36.20,36.20,35.90,36.00,0.15,38,1511504
104/12/17,68209,36.30,36.30,35.85,35.85,-0.15,31,2448291
104/12/18,72512,36.00,36.00,35.80,35.80,-0.05,37,2599674
104/12/21,28013,35.90,36.00,35.85,35.85,0.05,28,1006413
104/12/22,82002,35.90,35.95,35.75,35.75,-0.10,54,2936870
104/12/23,39004,36.00,36.00,35.80,35.90,0.15,27,1398440
104/12/24,32150,36.25,36.25,35.90,35.90,,31,1156202
104/12/25,18002,36.00,36.00,35.90,35.95,0.05,19,647220
104/12/28,58004,36.00,36.00,35.80,35.90,-0.05,46,2084290
104/12/29,64047,36.00,36.00,35.75,35.80,-0.10,47,2295571
104/12/30,38002,36.00,36.00,35.70,35.85,0.05,30,1363370
104/12/31,22001,36.00,36.00,35.85,35.90,0.05,19,790585
105/01/04,760369,35.90,36.15,35.70,35.90,,55,27314466
105/01/05,58005,35.95,35.95,35.70,35.70,-0.20,43,2075525
105/01/06,106075,35.80,35.95,35.50,35.70,,54,3784012
105/01/07,47216,35.85,35.85,35.50,35.60,-0.10,35,1681895
105/01/08,87747,35.70,35.70,35.40,35.60,,57,3119889
105/01/11,313112,35.20,35.90,35.20,35.70,0.10,40,11217825
105/01/12,52082,35.70,35.75,35.35,35.60,-0.10,31,1852702
105/01/13,55500,35.80,35.80,35.45,35.60,,34,1973900
105/01/14,378002,35.60,35.65,35.10,35.50,-0.10,40,13431270
105/01/15,44872,35.50,35.60,35.40,35.50,,33,1591693
105/01/18,115003,35.45,35.90,35.45,35.65,0.15,32,4097655
105/01/19,39152,35.65,35.70,35.60,35.70,0.05,39,1395835
105/01/20,5001,35.70,35.70,35.60,35.60,-0.10,5,178135
105/01/21,64001,35.55,35.65,35.40,35.60,,46,2276185
105/01/22,56002,36.00,36.95,36.00,36.10,0.50,26,2049122
105/01/25,23137,36.30,36.55,36.30,36.45,0.35,15,841793
105/01/26,12002,36.50,36.50,36.10,36.40,-0.05,10,433972
105/01/27,6056,36.50,36.50,36.20,36.20,-0.20,10,219526
105/01/28,80100,36.05,36.05,35.85,35.90,-0.30,37,2879619
105/01/29,80002,35.90,35.90,35.75,35.85,-0.05,22,2868120
105/01/30,197280,36.00,36.00,35.90,35.95,0.10,38,7095670
105/02/01,611004,36.00,36.00,36.00,36.00,0.05,34,21996144
105/02/02,136436,36.00,36.00,35.80,35.85,-0.15,54,4890114
105/02/03,47003,35.70,35.90,35.70,35.85,,19,1684905
105/02/15,20253,36.75,36.75,35.70,35.70,-0.15,41,727712
105/02/16,4005,36.00,36.00,35.80,35.80,0.10,9,143424
105/02/17,30104,35.65,36.00,35.60,35.75,-0.05,14,1074515
105/02/18,17621,36.50,36.50,35.90,36.10,0.35,23,635556
105/02/19,2423,36.05,36.10,36.05,36.10,,5,87333
105/02/22,10652,36.00,36.00,35.75,35.80,-0.30,15,381055
105/02/23,24140,36.00,36.10,35.75,36.10,0.30,11,869090
105/02/24,4017,36.45,36.45,35.65,35.65,-0.45,9,145212
105/02/25,73008,35.60,36.00,35.60,36.00,0.35,47,2625388
105/02/26,17005,35.90,36.45,35.90,36.10,0.10,16,614680
105/03/01,7018,36.00,36.10,36.00,36.05,-0.05,23,253048
105/03/02,29505,36.05,36.70,36.05,36.25,0.20,20,1067254
105/03/03,65080,36.30,36.30,35.70,35.95,-0.30,37,2342430
105/03/04,68015,36.20,36.20,35.95,36.05,0.10,32,2452190
105/03/07,87012,36.20,36.20,35.85,36.15,0.10,48,3143032
105/03/08,11606,35.80,36.25,35.75,35.90,-0.25,21,416016
105/03/09,125002,36.25,36.25,35.60,35.60,-0.30,23,4483620
105/03/10,76172,36.10,36.10,35.95,36.00,0.40,46,2741921
105/03/11,49003,36.10,36.10,35.95,35.95,-0.05,32,1764008
105/03/14,51003,35.85,36.15,35.85,36.10,0.15,22,1832355
105/03/15,15001,36.00,36.00,35.90,35.90,-0.20,5,539635
105/03/16,57002,35.90,36.20,35.50,35.95,0.05,20,2048422
105/03/17,7401,36.15,36.15,36.00,36.00,0.05,11,266586
105/03/18,27125,35.90,36.25,35.90,36.00,,39,977258
105/03/21,33021,36.15,36.30,36.05,36.05,0.05,28,1195807
105/03/22,80007,35.95,36.25,35.10,36.10,0.05,41,2887452
105/03/23,72841,36.15,36.15,35.90,35.90,-0.20,26,2623885
105/03/24,100162,36.00,36.40,36.00,36.05,0.15,35,3622145
105/03/25,51003,36.05,36.20,36.05,36.20,0.15,17,1844808
105/03/28,34007,36.00,36.20,36.00,36.20,,17,1227652
105/03/29,88742,36.15,36.30,36.00,36.10,-0.10,25,3207299
105/03/30,74057,35.65,36.35,35.65,36.20,0.10,35,2682107
105/03/31,82009,36.20,36.25,36.10,36.25,0.05,25,2966374
105/04/01,130029,36.20,36.20,36.00,36.00,-0.25,58,4691215
105/04/06,147631,35.65,36.20,35.65,36.20,0.20,84,5341028
105/04/07,122182,36.20,36.30,36.05,36.20,,38,4422352
105/04/08,117001,36.25,36.25,36.15,36.15,-0.05,13,4235436
105/04/11,177003,36.20,36.30,36.10,36.20,0.05,54,6407408
105/04/12,157006,36.20,36.25,36.00,36.10,-0.10,57,5680616
105/04/13,104349,36.20,36.35,36.20,36.20,0.10,35,3778564
105/04/14,242938,36.30,36.70,36.15,36.65,0.45,75,8842890
105/04/15,2994449,36.65,36.80,36.50,36.75,0.10,74,110038936
105/04/18,64445,36.40,36.75,36.35,36.35,-0.40,37,2349885
105/04/19,20002,36.25,36.50,36.25,36.50,0.15,11,726222
105/04/20,82138,36.20,36.70,36.20,36.65,0.15,23,2990742
