麗正            ,	2302
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,11217864,9.28,9.43,9.02,9.07,-0.02,2267,103078466
104/01/06,5378074,9.00,9.07,8.61,8.61,-0.46,1276,47479352
104/01/07,4827795,8.75,9.15,8.75,8.95,0.34,1302,43254780
104/01/08,3729301,9.14,9.14,8.63,8.70,-0.25,1035,32904868
104/01/09,1754680,8.72,8.86,8.60,8.62,-0.08,638,15274908
104/01/12,4021961,8.57,8.65,8.31,8.31,-0.31,909,34095421
104/01/13,2285942,8.49,8.59,8.29,8.49,0.18,660,19326162
104/01/14,3290208,8.60,8.67,8.35,8.35,-0.14,581,27827541
104/01/15,1459201,8.35,8.44,8.23,8.25,-0.10,334,12126039
104/01/16,2989738,8.25,8.43,8.08,8.08,-0.17,652,24782026
104/01/19,2685844,8.08,8.17,7.73,7.78,-0.30,603,21262046
104/01/20,4599559,7.78,8.32,7.70,8.32,0.54,931,37710524
104/01/21,3338918,8.32,8.50,8.14,8.14,-0.18,825,27693065
104/01/22,2170432,8.29,8.43,8.20,8.25,0.11,564,18063530
104/01/23,2827990,8.28,8.43,8.20,8.20,-0.05,583,23486174
104/01/26,623781,8.20,8.29,8.08,8.08,-0.12,268,5077543
104/01/27,1327441,8.10,8.20,7.98,7.98,-0.10,297,10685014
104/01/28,1166616,7.98,8.09,7.88,7.88,-0.10,345,9235432
104/01/29,2243118,7.88,8.08,7.85,7.85,-0.03,416,17865600
104/01/30,1770814,8.07,8.07,7.81,7.81,-0.04,325,14013088
104/02/02,2293246,7.83,7.84,7.44,7.46,-0.35,580,17296944
104/02/03,1382251,7.60,7.65,7.45,7.45,-0.01,356,10443075
104/02/04,868540,7.58,7.60,7.47,7.50,0.05,262,6535278
104/02/05,2856800,7.54,7.99,7.50,7.76,0.26,772,22258851
104/02/06,1656071,7.68,7.79,7.54,7.54,-0.22,409,12592149
104/02/09,1615691,7.58,7.64,7.46,7.51,-0.03,248,12167172
104/02/10,2263073,7.53,7.72,7.49,7.50,-0.01,440,17175920
104/02/11,1887761,7.50,7.61,7.45,7.51,0.01,369,14193253
104/02/12,406349,7.51,7.54,7.46,7.46,-0.05,170,3045922
104/02/13,913023,7.47,7.59,7.43,7.56,0.10,256,6841158
104/02/24,540659,7.63,7.63,7.45,7.56,,179,4060003
104/02/25,300247,7.56,7.60,7.47,7.47,-0.09,138,2250495
104/02/26,504017,7.56,7.63,7.48,7.56,0.09,190,3814423
104/03/02,179248,7.62,7.62,7.53,7.54,-0.02,79,1352975
104/03/03,4238680,7.59,8.00,7.47,7.92,0.38,863,33177838
104/03/04,1556265,7.93,7.96,7.70,7.76,-0.16,370,12099970
104/03/05,4981982,7.79,8.10,7.76,8.05,0.29,760,39833356
104/03/06,9048153,8.05,8.60,8.00,8.17,0.12,1320,75837498
104/03/09,11072928,8.17,8.40,8.02,8.19,0.02,965,91186662
104/03/10,1550897,8.15,8.22,7.91,7.93,-0.26,398,12395714
104/03/11,3542438,7.82,8.14,7.81,7.99,0.06,460,28516410
104/03/12,3366502,8.03,8.16,7.94,7.98,-0.01,441,27101357
104/03/13,1421365,8.00,8.08,7.89,7.90,-0.08,302,11285024
104/03/16,1938784,8.12,8.12,7.90,7.90,,190,15463719
104/03/17,2836898,7.75,8.01,7.75,7.84,-0.06,338,22358570
104/03/18,1179634,7.89,7.93,7.67,7.67,-0.17,311,9130215
104/03/19,636814,7.77,7.77,7.60,7.63,-0.04,240,4882021
104/03/20,336811,7.63,7.71,7.61,7.62,-0.01,142,2574610
104/03/23,1232123,7.62,7.74,7.62,7.63,0.01,215,9448174
104/03/24,702206,7.63,7.72,7.53,7.61,-0.02,152,5330566
104/03/25,410900,7.61,7.62,7.50,7.50,-0.11,156,3095912
104/03/26,512314,7.46,7.58,7.40,7.46,-0.04,182,3830188
104/03/27,523475,7.48,7.53,7.26,7.33,-0.13,193,3863433
104/03/30,535994,7.33,7.38,7.23,7.35,0.02,205,3915570
104/03/31,451930,7.35,7.43,7.29,7.43,0.08,145,3318646
104/04/01,1374032,7.95,7.95,7.95,7.95,0.52,342,10923549
104/04/02,4217746,8.20,8.20,7.95,7.95,,1051,34199537
104/04/07,1199264,8.00,8.00,7.80,7.83,-0.12,323,9437505
104/04/08,517222,7.85,7.87,7.73,7.73,-0.10,189,4033882
104/04/09,645340,7.75,7.86,7.68,7.70,-0.03,202,5014994
104/04/10,5083721,8.23,8.23,8.11,8.23,0.53,990,41779536
104/04/13,7418425,8.50,8.80,8.40,8.80,0.57,1668,64404508
104/04/14,7027640,9.40,9.40,8.90,9.08,0.28,1843,64320471
104/04/15,2950746,9.08,9.08,8.85,8.87,-0.21,878,26319279
104/04/16,3535822,8.94,9.25,8.90,8.93,0.06,1057,32130798
104/04/17,2219817,8.93,9.17,8.93,9.07,0.14,736,20166745
104/04/20,1730684,9.07,9.07,8.69,8.69,-0.38,589,15271420
104/04/21,1424166,8.75,8.93,8.56,8.59,-0.10,445,12433530
104/04/22,978478,8.65,8.81,8.65,8.72,0.13,354,8549745
104/04/23,1129638,8.70,8.79,8.56,8.70,-0.02,357,9801146
104/04/24,2722749,8.71,9.17,8.71,9.00,0.30,900,24552145
104/04/27,1057670,9.03,9.14,8.89,8.95,-0.05,365,9470516
104/04/28,969434,8.95,8.99,8.81,8.85,-0.10,276,8594583
104/04/29,937133,8.84,8.93,8.67,8.73,-0.12,288,8232078
104/04/30,656314,8.72,8.80,8.70,8.75,0.02,211,5743249
104/05/04,467187,8.78,8.80,8.66,8.66,-0.09,187,4059897
104/05/05,425539,8.62,8.70,8.61,8.62,-0.04,156,3673511
104/05/06,881047,8.60,8.72,8.57,8.72,0.10,255,7624354
104/05/07,457921,8.68,8.72,8.57,8.57,-0.15,195,3951659
104/05/08,205919,8.65,8.68,8.58,8.58,0.01,97,1773445
104/05/11,1283488,8.66,8.66,7.99,8.00,-0.58,446,10427461
104/05/12,663886,7.98,8.10,7.90,8.08,0.08,250,5300932
104/05/13,524550,8.16,8.19,8.05,8.17,0.09,252,4265839
104/05/14,521993,8.19,8.39,8.15,8.29,0.12,243,4327269
104/05/15,435428,8.30,8.35,8.01,8.01,-0.28,175,3558904
104/05/18,654174,8.05,8.11,7.61,7.68,-0.33,271,5168037
104/05/19,515354,7.70,7.91,7.70,7.76,0.08,218,4033237
104/05/20,247501,7.77,7.83,7.75,7.78,0.02,115,1926994
104/05/21,199900,7.77,7.86,7.74,7.79,0.01,96,1559212
104/05/22,308131,7.79,7.94,7.78,7.87,0.08,136,2424789
104/05/25,143251,7.90,7.90,7.78,7.78,-0.09,88,1120371
104/05/26,113379,7.80,7.80,7.73,7.75,-0.03,70,879210
104/05/27,293498,7.75,7.80,7.70,7.71,-0.04,128,2265943
104/05/28,232763,7.75,7.77,7.70,7.73,0.02,100,1798770
104/05/29,284447,7.72,7.81,7.71,7.80,0.07,118,2209302
104/06/01,207444,7.80,7.87,7.76,7.83,0.03,105,1619942
104/06/02,407155,7.83,8.12,7.83,7.93,0.10,194,3244070
104/06/03,272220,7.95,7.99,7.81,7.81,-0.12,130,2148675
104/06/04,331424,7.81,7.83,7.62,7.62,-0.19,151,2551484
104/06/05,312360,7.69,7.69,7.48,7.50,-0.12,139,2364323
104/06/08,659452,7.50,7.50,7.00,7.17,-0.33,246,4724726
104/06/09,891310,7.14,7.14,6.60,6.60,-0.57,254,6067983
104/06/10,435262,6.62,6.95,6.62,6.83,0.23,156,2941340
104/06/11,480106,6.93,6.93,6.66,6.73,-0.10,134,3242653
104/06/12,262550,6.79,6.79,6.63,6.73,,165,1758453
104/06/15,161313,6.69,6.78,6.69,6.73,,63,1087566
104/06/16,297017,6.75,6.75,6.53,6.60,-0.13,95,1975572
104/06/17,268073,6.60,6.72,6.60,6.69,0.09,110,1791228
104/06/18,802869,6.75,7.35,6.72,7.35,0.66,318,5718335
104/06/22,1362042,7.90,7.99,7.60,7.97,0.62,531,10673930
104/06/23,1659497,8.01,8.35,7.68,8.07,0.10,670,13306858
104/06/24,993543,8.15,8.22,7.94,8.01,-0.06,303,7989544
104/06/25,936016,8.00,8.29,7.95,8.15,0.14,334,7606589
104/06/26,1482253,8.29,8.29,8.10,8.25,0.10,447,12147742
104/06/29,892776,8.20,8.20,7.70,7.95,-0.30,308,7086099
104/06/30,603356,7.83,8.00,7.77,7.78,-0.17,245,4735240
104/07/01,589536,7.79,7.89,7.69,7.69,-0.09,235,4564347
104/07/02,219070,7.72,7.76,7.68,7.75,0.06,99,1690752
104/07/03,283808,7.72,7.72,7.50,7.56,-0.19,150,2156017
104/07/06,211650,7.20,7.50,7.20,7.30,-0.26,125,1551508
104/07/07,242661,7.28,7.49,7.28,7.42,0.12,121,1797559
104/07/08,471509,7.42,7.42,7.00,7.17,-0.25,194,3397027
104/07/09,344598,6.85,7.29,6.85,7.13,-0.04,152,2447215
104/07/13,264048,7.44,7.44,7.15,7.15,0.02,117,1903217
104/07/14,207310,7.25,7.25,7.11,7.11,-0.04,115,1485081
104/07/15,238124,7.20,7.20,7.01,7.02,-0.09,103,1686168
104/07/16,171177,7.06,7.06,6.97,6.98,-0.04,92,1202083
104/07/17,348648,7.02,7.10,6.98,7.05,0.07,108,2458616
104/07/20,789926,7.20,7.20,7.06,7.15,0.10,174,5642573
104/07/21,485622,7.19,7.28,7.12,7.25,0.10,139,3507928
104/07/22,235481,7.37,7.37,7.17,7.22,-0.03,82,1704341
104/07/23,601330,7.22,7.30,7.13,7.22,,152,4337136
104/07/24,560303,7.24,7.32,7.15,7.32,0.10,139,4049740
104/07/27,405522,7.35,7.35,7.01,7.23,-0.09,168,2931307
